country,sitecode,sitename,project_title,commission_informed_year,project_year,commission_opinion,project_impact
AT,AT3122000,Europaschutzgebiet Oberes Donau- und Aschachtal,Gewässerökologische Verbesserungsmaßnahmen an der Donau in den Stauräumen Jochenstein und Aschach im Bereich des Europaschutzgebiets Oberes Donau- und Aschachtal,2016,2016,No,
AT,AT3122000,Europaschutzgebiet Oberes Donau- und Aschachtal,"Kompensationsbaggerungen und Geschieberückführung in der Donau im Stauraum Aschach im Bereich des Europaschutzgebiets „Oberes Donau- und Aschachtal“ 
Im Bereich der Gemeinden Engelhartszell und Neustift im Mühlkreis",2017,2017,No,
AT,AT3122000,Europaschutzgebiet Oberes Donau- und Aschachtal,"Radweg B 130 Nibelungenstraße, Baulos Radweg Oberranna, km 28,3 bis km 31,174",2016,2017,No,
AT,AT3120000,Europaschutzgebiet Waldaist und Naarn,"Ausbau der L 1415, Aisttal-Landesstraße von km 20,665 bis km 22,020, Baulos Schaffelmühle, durch Verbreiterung der Straße mit Anlage eines Banketts und Gestaltung einer Entwässerungsmulde gegen Glatteisbildung",2017,2017,No,
CY,,,,,,No,N/A
CY,,,,,,No,
CY,,,,,,No,N/A
DE,DE3553308,Oder-Neiße-Ergänzung,Instandsetzungsmaßnahmen Oder bei Reitwein,2016,2019,No,
DE,DE4545302,Elbdeichvorland Mühlberg-Stehla,"Sanierung der Elbdeiche Raum Mühlberg/Elbe im Landkreis Elbe-Elster, Teilobjekt 2, Altbelgern bis Brottewitz, Fluss km 134,1 bis km 130,5",2019,2018,No,
DE,DE7015341,Rheinniederung zwischen Wintersdorf und Karlsruhe,Sanierung des Rheinhochwasserdamms XXV/Rechter Murgdamm,2020,2017,No,
DE,DE7220311,Glemswald und Stuttgarter Bucht,Fernbahnzuführung und S-Bahn-Anbindung über das Rosensteinportal von Bad Cannstatt nach Stuttgart,2017,2018,Yes,
DE,DE7425311,Kuppenalb bei Laichingen und Lonetal,Erweiterung der Bundesautobahn A 8 Hohenstadt - Ulm-West,2013,2012,No,
DE,DE7519341,Neckar und Seitentäler bei Rottenburg,Hochwasserrückhaltebecken (HRB) Rottenburg-Dettingen,2014,2015,No,
DE,DE7519342,Rammert,Hochwasserrückhaltebecken (HRB) Rottenburg-Dettingen,2014,2015,No,
DE,DE8114341,Hochschwarzwald um Hinterzarten,Felssicherungsmaßnahmen Hirschsprung oberhalb der Bundesstraße B 31,2019,2010,No,
DE,DE5626371,Tal der Brend,Neubau der Bundesstraße B 279 Ortsumgehung Wegfurt,2020,2017,No,
DE,DE5833371,Maintal von Theisau bis Lichtenfels,Ausbau der Bundesstraße B 173 zwischen Lichtenfels und Kronach,2014,2019,Yes,
DE,DE5927371,Maintal bei Sennfeld und Weyer,"Ausbau der Fahrrinne der Bundeswasserstraße Main in den Stauhaltungen Wipfeld (Main-km 316,12 bis Main-km 323,68), Garstadt (Main-km 323,68 bis Main-km 331,96) und Schweinfurt (Main-km 331,96 bis Main-km 345,29), Ausbau des oberen Vorhafens der Schleuse G",2012,2013,Yes,
DE,DE5927371,Maintal bei Sennfeld und Weyer,"Ausbau der Fahrrinne der Bundeswasserstraße Main in den Stauhaltungen Ottendorf  (Main-km 345,29 bis Main-km 359,99) und Knetzgau (Main-km 359,99 bis Main-km 367,18), Ausbau der unteren und oberen Vorhäfen der Schleusen
Ottendorf (Main-km 344,52 bis Main-",2018,2019,Yes,
DE,DE6124372,Maintalhänge zwischen Gambach und Veitshöchheim,Ausbau der Bundesstraße B 27 (Würzburg-Karlstadt) südlich Karlstadt,2017,2010,No,
DE,DE6127371,Mainaue zwischen Grafenrheinfeld und Kitzingen,"Ausbau der Fahrrinne der Bundeswasserstraße Main in den Stauhaltungen Wipfeld (Main-km 316,12 bis Main-km 323,68), Garstadt (Main-km 323,68 bis Main-km 331,96) und Schweinfurt (Main-km 331,96 bis Main-km 345,29), Ausbau des oberen Vorhafens der Schleuse G",2012,2013,Yes,
DE,DE6836371,Schwarze Laaber,Felssicherungsmaßnahmen Beratzhausen,2021,2013,No,
DE,DE6935371,"Weiße, Wissinger, Breitenbrunner Laaber u. Kreuzberg bei Dietfurt",Felssicherungsmaßnahmen entlang der ST 2234 bei Breitenbrunn,2021,2011,No,
DE,DE6937301,Flanken des Naabdurchbruchtals zwischen Kallmünz und Mariaort,"DB Netz AG, Fels- und Hangsicherungsmaßnahme km 5,376 - km 7,779, Strecke 5850, Regensburg - Nürnberg",2021,2016,No,
DE,DE6937301,Flanken des Naabdurchbruchtals zwischen Kallmünz und Mariaort,"Staatsstraße 2165, Sicherung der Felsböschung bei Penk",2019,2012,No,
DE,DE7142301,Donauauen zwischen Straubing und Vilshofen,Ausbau der Wasserstraße zwischen Straubing und Vilshofen im Teilabschnitt 1: Straubing – Deggendorf,2018,2019,Yes,
DE,DE7142301,Donauauen zwischen Straubing und Vilshofen,Hochwasserschutz Thundorf und Aicha BA1 Ortsschutz,2021,2018,No,
DE,DE7142301,Donauauen zwischen Straubing und Vilshofen,Hochwasserschutz Niederalteich,2021,2016,No,
DE,DE7243302,Isarmündung,Hochwasserschutz Fischerdorf linker Isardeich,2021,2014,No,
DE,DE7243302,Isarmündung,Hochwasserschutz Stögermühlbach,2021,2017,No,
DE,DE7537301,Isarauen von Unterföhring bis Landshut,Erneuerung der Brücke der Bundesstraße B 11 über die Isar und die Isarlut in Moosburg,2021,2016,No,
DE,DE7635301,Ampertal,"Umbau der Anschlussstelle Dachau/Fürstenfeldbruck der Bundesautobahn A 8, Direktrampe Nord-Ost",2018,2021,Yes,
DE,DE7733371,Flughafen Fürstenfeldbruck,Konversion Alter Flughafen Fürstenfeldbruck - Teil Nord,2021,2017,No,
DE,DE7742371,Inn und Untere Alz,"Ersatz eines veralteten Hochwasserschutzdeichs auf 1,1 km Länge entlang der Alz bei Emmerting BA01 durch das Wasserwirtschaftsamt Traunstein",2021,2011,No,
DE,DE7742371,Inn und Untere Alz,Herstellung der biologischen Durchgängigkeit an der Innstaustufe Perach südliche Innseite durch die VERBUND Innkraftwerke GmbH,2021,2016,No,
DE,DE7744371,Salzach und Unterer Inn,Erhaltung der Hochwassersicherheit durch Ausholzung am Innstaudamm Haming durch die GKW Grenzkraftwerke GmbH,2021,2016,No,
DE,DE7933371,Eichenalleen und Wälder um Meiling und Weßling,"Staatsstraße 2068, Umfahrung Weßling",2017,2010,No,
DE,DE8134303,Fledermaus-Kolonien im Südwesten Oberbayerns,Ersatzneubau der Echelsbacher Brücke der Bundesstraße B 23 mit Straßenanschlüssen,2021,2017,No,
DE,DE8326371,Allgäuer Molassetobel,Hochwasserrückhaltebecken Röthenbach,2021,2012,No,
DE,DE8332301,Murnauer Moos,Verlängerung Wirtschaftsweg im NSG Murnauer Moos,2021,2017,No,
DE,DE8431371,Ammergebirge,Verlegung der Bundesstraße B 23 westlich Garmisch-Partenkirchen mit Kramertunnel,2021,2018,No,
DE,DE8433301,Karwendel mit Isar,Lawinensicherung Rainlähne,2021,2014,No,
DE,DE8433301,Karwendel mit Isar,Leitdeich am Kaltwassergraben,2021,2012,No,
DE,DE4724304,Lichtenauer Hochland,"Neubau der Bundesautobahn A 44 Kassel – Herleshausen, VKE 20",2007,2008,Yes,"Die KOM wurde zwar im Jahr 2007 zu der A 44 um Stellungahme gebeten, hat jedoch mit Schreiben vom 23.07.2007 mitgeteilt, dass wegen der nicht erheblichen Beeinträchtigung von prioritären Lebensraumtypen keine Stellungnahme erforderlich sei."
DE,DE4825302,Werra- und Wehretal,"Neubau der Bundesautobahn A 44 Kassel – Herleshausen, VKE 40.1",2019,2014,No,
DE,DE4825302,Werra- und Wehretal,"Neubau der Bundesautobahn A 44 Kassel – Herleshausen, VKE 40.2",2019,2016,No,
DE,DE4926305,Wälder und Kalkmagerrasen der Ringgau Südabdachung,"Neubau der Bundesautobahn A 44 Kassel – Herleshausen, VKE 50",2019,2017,No,
DE,DE5216305,Schelder Wald,Ausbau der L 3362 und Neubau eines Rad-und Gehweges zwischen Dillenburg  und Dillenburg/Nanzenbach,2019,2016,No,
DE,DE5912303,Rheintal bei Lorch,Fels- und Hangsicherungsmaßnahme Lorch Obertal Deutsche Bahn Strecke 3507,2019,2017,No,
DE,DE5913308,Wispertaunus,Fels- und Hangsicherungsmaßnahme an der L3035 zwischen Schlangenbad- Niedergladbach und L3033 Hessen-Mobil,2019,2015,No,
DE,DE5913308,Wispertaunus,Fels- und Hangsicherungsmaßnahme  an der L3397 zwischen Lorch Ranselberg und Ransel Hessen-Mobil,2019,2015,No,
DE,DE2507331,Unterems und Außenems,Erhöhung und Verstärkung des Emder Hafendeiches von Emden/Borssum bis zur Großen Seeschleuse,2016,2011,No,
DE,DE2528331,Elbeniederung zwischen Schnackenburg und Geesthacht,Gehölzrückschnitt in Weidenauwäldern des Überschwemmungsgebiets als vorgezogene Maßnahme des in Aufstellung befindlichen 'Rahmenplan für abflussverbessernde Maßnahmen an der unteren Mittelelbe,2017,2015,No,
DE,DE3021331,"Aller (mit Barnbruch), untere Leine, untere Oker",Verbesserung des Hochwasserschutzes in der Stadt Celle von der Fuhesemündung bis zur Allerinsel (2. Bauabschnitt),2012,2011,No,
DE,DE3021331,"Aller (mit Barnbruch), untere Leine, untere Oker",Hochwasserschutzmaßnahmen der Stadt Celle zwischen Boye und der Fuhsemündung (1. Bauabschnitt),2017,2006,No,
DE,DE3021331,"Aller (mit Barnbruch), untere Leine, untere Oker","Hochwasserschutz in der Region Celle, 3. Planfeststellungsabschnitt Bereich Allerinsel",2018,2016,No,
DE,DE4329303,Gipskarstgebiet bei Bad Sachsa,Verlegung der Bundesstraße B 243 von Bad Sachsa bis zur Landesgrenze Niedersachsen/Thüringen (OU Mackenrode),2017,2016,No,
DE,DE3915303,Tatenhauser Wald bei Halle,"Neubau der Bundesautobahn A 33, Abschnitt 7.1 Halle –Borgholzhausen",2016,2012,No,
DE,DE4218301,Talleseen,Nutzung der Talleseen als Hochwasserspeicher,2016,2011,No,
DE,DE0916391,NTP S-H Wattenmeer und angrenzende Küstengebiete,Buhne Südstrand Pellworm,2016,2014,No,
DE,DE0916391,NTP S-H Wattenmeer und angrenzende Küstengebiete,"Ausbau des Buhnensystems an der Südküste der Hallig Gröde, Kreis Nordfriesland, Land Schleswig-Holstein",2016,2015,No,
DE,DE4342301,Elbtal zwischen Mühlberg und Greudnitz,Grundhafte Instandsetzung Deich Brottewitz bis Torgau Elbbrücke rechts km 16+000 bis 17+680,2015,2012,No,
DE,DE4553301,Schwarzer Schöps unterhalb Reichwalde,Ausbau und Umverlegung Weißer Schöps,2017,2011,No,
DE,DE5147301,Pöbelbachtal und Hofehübel,Hochwasserrückhaltebecken Niederpöbel,2016,2011,No,
DE,DE2935301,Aland-Elbe-Niederung nördlich Seehausen,"HWSB linker Alanddeich, Ortslage Wanzer (Deich-km 19,3-20,7)",2019,2016,No,
DE,DE3138301,Elbaue Werben und Alte Elbe Kannenberg,DRV Sandau Nord,2017,2013,No,
DE,DE3238302,Elbaue zwischen Sandau und Schönhausen,HWSB am rechten Elbdeich Sandau,2018,2015,No,
DE,DE3238302,Elbaue zwischen Sandau und Schönhausen,"PFV Deichsanierung/DRV zwischen Fähre Sandau und Altenzaun, linker Elbdeich",2019,2015,No,
