country,speciescode,speciesname,reintro_alternative_speciesname,reintro_common_speciesname,reintro_period,location_number,successful,additional_info
DE,1203,Hyla arborea,Hyla arborea,Laubfrosch,2014-2016,Ascheberg 1600,Y,
DE,1203,Hyla arborea,Hyla arborea,Laubfrosch,2014-2016,Bekmissenteich 872,Y,
DE,1197,Pelobates fuscus,Pelobates fuscus,Knoblauchkröte,2012-2016,Telgte 2000,Y,
DE,1197,Pelobates fuscus,Pelobates fuscus,Knoblauchkröte,2012-2015,Ahlefeld 4955,Unk,
DE,1197,Pelobates fuscus,Pelobates fuscus,Knoblauchkröte,2012-2015,Bistensee 3300,Y,Einzelne Rufer in 2017
DE,1197,Pelobates fuscus,Pelobates fuscus,Knoblauchkröte,2012-2015,Holzbunge 2560,Unk,
CZ,1335,Spermophilus citellus,,,2017-2018,Píse?ný vrch 114,Y,"V roce 2017 byla založena nová lokalita Písečný vrch (cca 30 km od nejbližší stávající lokality, ale v rámci jednoho kraje), kam bylo ve dvou termínech vypuštěno celkem 57 jedinců (27 samců a 30 samic). V roce 2018 byla kolonie posílena opět 57 jedinci (29 samic a 28 samců). U syslů vysazených v loňském roce byla potvrzena úspěšná reprodukce."
CZ,6169,Euphydryas maturna,,,2018-2018,Libický luh 3230,Unk,"V roce 2018 proběhla reintrodukce hnědáska osikového do NPR Libický luh, který je vzdálený asi 12 km od původní lokality výskytu PR Dománovický les. Celkem bylo vysazeno cca 3 230 jedinců (během tří termínů), kteří pocházeli (pravděpodobně, bylo by nutné ověřit) z umělých odchovů."
DE,1197,Pelobates fuscus,Pelobates fuscus,Knoblauchkröte,2012-2015,Lehmberg 2100,Y,Einzelne Rufer  in 2017
DE,1197,Pelobates fuscus,Pelobates fuscus,Knoblauchkröte,2012-2015,"Lottorf, Geltorf 1015",Unk,
DE,1197,Pelobates fuscus,Pelobates fuscus,Knoblauchkröte,2012-2015,Schäferhaus 9797,Unk,
DE,1197,Pelobates fuscus,Pelobates fuscus,Knoblauchkröte,2012-2015,Selk 4220,Y,Rufer in 2017
DE,1113,Coregonus oxyrhynchus,Coregonus oxyrinchus s.l.,Nordseeschnäpel,2014-2015,Alte Aller 50000,Unk,Der Erfolg der Wiederansiedlung kann noch nicht abgeschätzt werden. Bisher liegen dem Dezernat nur Einzelnachweise adulter Tiere (Rückkehrer) aus der Weser vor. Aktuell keine natürliche Reproduktion!
DE,1197,Pelobates fuscus,Pelobates fuscus,Knoblauchkröte,2012-2015,Wittensee 1420,Unk,
DE,1214,Rana arvalis,Rana arvalis,Moorfrosch,2014-2018,"1 NSG im Kreis Groß-Gerau, 2017 einmalig weitere 7 Ausbringungsorte in Schutzgebieten in den Landkreisen Groß-Gerau, Offenbach, Darmstadt-Dieburg und 1 Ausbringungsort im Bundesland Rheinland-Pfalz 100000",Unk,"Herkunft der Larven aus Laichballen eines Gebietes, wenn diese aufgrund sinkender Wasserstände trocken zu fallen drohen. Aufzucht in Hälterungsbecken und Ausbringung im Larvenstadium. Ein Teil der Larven geht zurück an den Entnahmeort."
DE,5042,Acipenser oxyrinchus,Acipenser oxyrinchus,Baltischer Stör,2008-2018,Untere Oder zwischen Lebus und Garz (Brandenburg) 2000000,Unk,"Anzahl der wiederangesiedelten Individuen ist eine Zirka-Angabe und verteilt sich auf den Gesamtzeitraum; dokumentierte Wiederfänge, Fortführung geplant, früheste erwartete Rückkehrer ca. 2023 (Erfolgskontrolle)"
EE,1356,Mustela lutreola,,Euroopa naarits,2000-2018,Hiiumaa island; 111 individuals,Y,
DE,1193,Bombina variegata,Bombina variegata,"Gelbbauchunke, Bergunke",2012-2017,Bückeberge (LK Schaumburg) 3507,Unk,
DE,1193,Bombina variegata,Bombina variegata,"Gelbbauchunke, Bergunke",2015-2016,"Steinbruch Segelhorst, Landkreis Hameln-Pyrmont 1385",Unk,
DE,1193,Bombina variegata,Bombina variegata,"Gelbbauchunke, Bergunke",2016-2017,"Dörpe/Gelbbachtal, Landkreis Hameln-Pyrmont 331",Unk,
DE,1188,Bombina bombina,Bombina bombina,Rotbauchunke,2016-2017,"Großer/Kleiner See, Banker See zus. ca. 1000 Individuen 1000",Unk,
DE,1188,Bombina bombina,Bombina bombina,Rotbauchunke,2011-2016,Winderatter See 1739,Unk,12 Rufer in 2017
DE,1188,Bombina bombina,Bombina bombina,Rotbauchunke,2012-2015,Ascheberg 3067,Y,>30 Rufer in 2017
DE,1188,Bombina bombina,Bombina bombina,Rotbauchunke,2012-2015,Kükelühner Mühlenau 4693,Y,"23 Rufer  in 2017 (schlechte Bedingungen), Reproduktion in 2 Gewässern; 6 Rufer in 2013"
DE,1188,Bombina bombina,Bombina bombina,Rotbauchunke,2012-2016,Winderatter See 2443,Y,>50 Rufer in 2017
DE,1193,Bombina variegata,Bombina variegata,"Gelbbauchunke, Bergunke",2014-2018,verschiedene Wiederansiedlungsorte (von RLP über NRW bis NI im Rahmen des Gelbbauchunken LIFE Projektes 50000,Unk,
DE,6284,Epidalea calamita,Bufo calamita,Kreuzkröte,2009-2012,Weißenhaus 17773,Unk,Größere Ruferpopulationen sind durch diese Ansiedlung im FFH Gebiet Putlos entstanden....
DE,1203,Hyla arborea,Hyla arborea,Laubfrosch,2010-2018,Dümmer 1,Unk,"Die Fachbehörde erklärte ihr Einverständnis für geplante In-situ-Maßnahmen, eine fachliche Einschätzung zum Projekterfolg kann nicht erfolgen, weil Informationen zum Projektverlauf im landesweiten Artenschutz nicht vollständig vorliegen."
DE,1203,Hyla arborea,Hyla arborea,Laubfrosch,2012-2018,"TK 3709, Stadt Bad Bentheim, Sieringhoek und Brechte 1",Unk,"mehrere tausend Individuen (Ausbringung von Kaulquappen und Jungfröschen in den Jahren 2012, 2013, 2015 und 2016); für 2018 ist eine letzte Besatzmaßnahme geplant."
DE,1203,Hyla arborea,Hyla arborea,Laubfrosch,2008-2014,Kührener Teich 2053,Y,>100 Rufer in 2017
DE,1203,Hyla arborea,Hyla arborea,Laubfrosch,2010-2013,Gowens 1130,Y,
DE,1203,Hyla arborea,Hyla arborea,Laubfrosch,2012-2015,Bistensee 4090,Y,
DE,1203,Hyla arborea,Hyla arborea,Laubfrosch,2012-2015,Bönebüttel 930,Y,
DE,1203,Hyla arborea,Hyla arborea,Laubfrosch,2012-2015,Holzbunge 3870,Y,
DE,1203,Hyla arborea,Hyla arborea,Laubfrosch,2012-2015,Schäferhaus 3054,Unk,
DE,1203,Hyla arborea,Hyla arborea,Laubfrosch,2012-2015,Wittensee 3300,Y,Zahlreiche Rufer in 2017
