featuretype,country,region,featurecode,featurename,measurecode,use_for_statistics,report_obligation
species,IT,MED,6909,Centranthus amazonum,CS04,Yes,mandatory
species,IT,ALP,1361,Lynx lynx,CG04,Yes,mandatory
species,IT,ALP,1361,Lynx lynx,CS02,Yes,mandatory
species,NL,ATL,1193,Bombina variegata,CL04,Yes,mandatory
species,NL,ATL,1193,Bombina variegata,CA03,Yes,mandatory
species,NL,ATL,1193,Bombina variegata,CG09,Yes,mandatory
species,NL,ATL,1193,Bombina variegata,CS01,Yes,mandatory
species,NL,ATL,1106,Salmo salar,CX02,Yes,mandatory
species,SI,ALP,2485,Eudontomyzon vladykovi,CA09,Yes,mandatory
species,SI,ALP,2485,Eudontomyzon vladykovi,CA11,Yes,mandatory
species,SI,ALP,2485,Eudontomyzon vladykovi,CJ01,Yes,mandatory
species,SI,ALP,2485,Eudontomyzon vladykovi,CJ02,Yes,mandatory
species,SI,ALP,2485,Eudontomyzon vladykovi,CJ03,Yes,mandatory
species,SI,ALP,2485,Eudontomyzon vladykovi,CA08,Yes,mandatory
species,SI,ALP,2485,Eudontomyzon vladykovi,CC01,Yes,mandatory
species,SI,ALP,2485,Eudontomyzon vladykovi,CF11,Yes,mandatory
species,SI,CON,1092,Austropotamobius pallipes,CI01,Yes,mandatory
species,SI,CON,1092,Austropotamobius pallipes,CI02,Yes,mandatory
species,SI,CON,1092,Austropotamobius pallipes,CI03,Yes,mandatory
species,SI,CON,1092,Austropotamobius pallipes,CB14,Yes,mandatory
species,SI,CON,1092,Austropotamobius pallipes,CJ02,Yes,mandatory
species,SI,CON,1092,Austropotamobius pallipes,CA11,Yes,mandatory
species,SI,CON,1092,Austropotamobius pallipes,CN01,Yes,mandatory
species,SI,CON,1092,Austropotamobius pallipes,CN02,Yes,mandatory
species,SI,CON,1092,Austropotamobius pallipes,CG04,Yes,mandatory
species,EE,BOR,1320,Myotis brandtii,CS03,Yes,optional
species,EE,BOR,1320,Myotis brandtii,CF09,Yes,optional
species,NL,ATL,1324,Myotis myotis,CF12,Yes,mandatory
