featuretype,country,region,featurecode,featurename,measures_needed,measures_status,measures_purpose,measures_location,measures_response,measures_info,use_for_statistics
species,ES,ATL,6985,Vandenboschia speciosa,Yes,taken,maintain,inOut,medTerm,"Las principales medidas de conservación de esta especie son:
-Planificación y seguimiento: Plan de gestión. En Navarra se realiza el seguimiento anual de varias localidades de la población para conocer su evolución.
-Legislación, vigilancia y concienciación: Catálogos de protección legales.
-Protección y gestión del hábitat: restauración/mejora de los hábitats forestales.
-Gestión de la especie objetivo: Conservación ex situ mediante recolección de propágulos y propagación artificial.",Yes
species,ES,MAC,1514,Parolinia schizogynoides,Yes,ident,,,,,Yes
species,ES,MAC,1728,Isoplexis isabelliana,Yes,ident,,,,,Yes
species,ES,MATL,1364,Halichoerus grypus,No,,,,,"Se considera que no son necesarias medidas, dada la dinámica poblacional.",No
species,ES,MATL,2625,Mesoplodon densirostris,No,,,,,,No
species,ES,MED,1030,Margaritifera auricularia,Yes,taken,increase,inOut,medTerm,,Yes
species,ES,MED,1076,Proserpinus proserpina,Yes,ident,,,,,Yes
species,ES,MED,1083,Lucanus cervus,No,,,,,,Yes
species,ES,MED,1118,Iberocypris palaciosi,Yes,ident,,,,"Se han identificado varias medidas para la mejora de las poblaciones piscícolas de Andalucía, bajo el proyecto 'Programa de Actuación de Peces Invertebrados de Medios Acuáticos Epicontinentales - Años 2015-2019' (http://www.juntadeandalucia.es/medioambiente/portal_web/web/temas_ambientales/biodiversidad/0_conservacion_biodiversidad/planes_conservacion_recuperacion/Programas%20de%20actuacion/programa_actuacion_epicontinentales_%20anexo_X.pdf).
Varios planes de seguimiento se han realizado en los últimos años, dando resultados negativos en los muestreos para la bogardilla: año 2014 (http://www.juntadeandalucia.es/medioambiente/portal_web/web/temas_ambientales/biodiversidad/0_conservacion_biodiversidad/planes_conservacion_recuperacion/peces_invertebrados/ficha_plan_epicontinentales_2014.pdf), año 2015 (http://www.juntadeandalucia.es/medioambiente/portal_web/web/temas_ambientales/biodiversidad/0_conservacion_biodiversidad/planes_conservacion_recuperacion/peces_invertebrados/ficha_plan_epicontinentales_2015.pdf) y año 2016 (http://www.juntadeandalucia.es/medioambiente/portal_web/web/temas_ambientales/biodiversidad/0_conservacion_biodiversidad/planes_conservacion_recuperacion/peces_invertebrados/FichaPlanEpicontinentales2016.pdf).",Yes
species,ES,MED,1187,Alytes muletensis,Yes,taken,restore,inOut,srtTerm,"Han sido tomadas varias medidas para aumentar la calidad general del hábitat, por medio de la mejora de la calidad de las aguas de los torrentes, el incremento del número de efectivos en poblaciones localizadas, control de las especies invasoras y las enfermedades fúngicas introducidas por el hombre, la creación de nuevos puntos de reproducción, la disminución de la contaminación, etc.
Recientemente en 2016, El Gobierno Balear reintrodujo la especie exitosamente, estableciendo una nueva población en el LIC Muntayes d'Artá [ES0000227], bajo el Segundo Plan de Recuperación del sapo partero balear (http://www.caib.es/sites/proteccioespecies/es/fauna/).",Yes
species,ES,MED,1192,Alytes cisternasii,Yes,taken,restore,inOut,srtTerm,"Creación de charcas para anfibios por medio de diversas iniciativas apoyadas por la Administración pública (https://www.ecoherencia.es/areas/restauracion-de-ecosistemas-y-custodia-del-territorio/creacion-de-charcas-para-anfibios/).
Medidas para mejorar el hábitat de especies objetivo en ZEC Corredor Ecológico del Río Guadiamar [ES6180005] (https://www.juntadeandalucia.es/medioambiente/web/Bloques_Tematicos/Patrimonio_Natural._Uso_Y_Gestion/Espacios_Protegidos/publicaciones_renpa/restauracion_ecologica_rio_guadiamar/24_micro_humedales.pdf).",Yes
species,ES,MED,1216,Rana iberica,Yes,taken,increase,inOut,srtTerm,,Yes
species,ES,MED,1324,Myotis myotis,Yes,taken,maintain,inOut,medTerm,"En la Comunidad de La Rijoa se ha elaborado una propuesta de plan de conservación de quirópteros: Aguilar, C.M. (2017). Propuesta de plan de conservación de los murciélagos cavernícolas en La Rioja. Tragsatec. Informe 
inédito para la Dirección General de Medio Natural. Gobierno de La Rioja.

Existen regiones en las que se han identificado medidas similares que aún no se han llevado a cabo y cuyos resultados se producirán a largo plazo.",Yes
species,ES,MED,1368,Capra pyrenaica,Yes,taken,increase,inOut,srtTerm,,Yes
species,ES,MED,1400,Leucobryum glaucum,No,,,,,,Yes
species,ES,MED,1488,Coronopus navasii,Yes,taken,maintain,in,srtTerm,"La especie está incluida en el 'Programa de Recuperación de Flora de las altas cumbres de Andalucía', bajo el cual se han llevado a cabo acciones de seguimiento de las poblaciones de la especie, actuaciones de conservación del hábitat mediante vallado y otras actuaciones de restauración. Como medidas de conservación ex situ esta especie se encuentra conservada en el Banco de Germoplasma Vegetal Andaluz (BGVA), de la Red Andaluza de Jardines Botánicos y Micológico, formando parte de la colección del Jardín Botánico Hoya de Pedraza, en Granada (http://www.juntadeandalucia.es/medioambiente/portal_web/web/temas_ambientales/biodiversidad/0_conservacion_biodiversidad/planes_conservacion_recuperacion/altas_cumbres/Coronopues%20navasii_2015.pdf).",Yes
species,ES,MED,1500,Boleum asperum,Yes,taken,maintain,inOut,srtTerm,"Las principales medidas de conservación identificadas para mantener la actual amplitud geográfica, población, y/o hábitat para la especie tanto dentro como fuera de la Red Natura 2000 son:
-Legislación, vigilancia y concienciación: Catálogos de protección legales e inclusión en la Red NATURA 2000 (9 de 27 poblaciones).
El proyecto LIFE+ RESECOM “Red de seguimiento para especies de flora y hábitats de interés comunitario en Aragón” [LIFE12 NAT/ES/000180], llevado a cabo durante el periodo 2013-2018, ha establecido una red de seguimiento de las plantas y hábitats de la Comunidad Autónoma de Aragón, con el objetivo de recopilar y generar información útil para el público y las administraciones, que permita obtener conocimiento a largo plazo sobre la dinámica de las poblaciones, especies y hábitats. Esta especie ha figurado en el listado de especies objetivo del proyecto (http://www.liferesecom.ipe.csic.es/index2.php?lang=es).",Yes
species,ES,MED,1550,Genista dorycnifolia,No,,,,,,Yes
species,ES,MED,1800,Jurinea fontqueri,Yes,ident,,,,"La especie está incluida en el 'Programa de Recuperación de Flora de las altas cumbres de Andalucía', bajo el cual se han llevado a cabo acciones de seguimiento de las poblaciones de la especie.
Como medidas de conservación ex situ esta especie se encuentra conservada en el Banco de Germoplasma Vegetal Andaluz (BGVA), de la Red Andaluza de Jardines Botánicos y Micológico (http://www.juntadeandalucia.es/medioambiente/site/portalweb/menuitem.7e1cf46ddf59bb227a9ebe205510e1ca/?vgnextoid=c384b2c42f207310VgnVCM2000000624e50aRCRD&vgnextchannel=5ebc6cbc15e77310VgnVCM2000000624e50aRCRD).",Yes
species,ES,MED,1804,Senecio elodes,Yes,taken,maintain,in,srtTerm,"La especie está incluida en el 'Programa de Recuperación de Flora de las altas cumbres de Andalucía', bajo el cual se han llevado a cabo acciones de seguimiento de las poblaciones de la especie, actuaciones de refuerzo mediante el vallado de protección contra la hervivoría y propagación de individuos.
Como medidas de conservación ex situ esta especie se encuentra conservada en el Banco de Germoplasma Vegetal Andaluz (BGVA), de la Red Andaluza de Jardines Botánicos y Micológico, formando parte de la colección del Jardín Botánico Hoya de Pedraza, en Granada (http://www.juntadeandalucia.es/medioambiente/portal_web/web/temas_ambientales/biodiversidad/0_conservacion_biodiversidad/planes_conservacion_recuperacion/altas_cumbres/tephronesis_elodes_senecio_elodes_boiss_2015.pdf).",Yes
species,ES,MED,1858,Narcissus nevadensis,Yes,taken,increase,in,medTerm,"En la Comunidad Autónoma de Murcia las medidas de conservación de esta especie están encaminadas a reducir el impacto de sus principales presiones y amenazas. 

La especie está incluida en el 'Programa de Recuperación de Flora de las altas cumbres de Andalucía', bajo el cual se han llevado a cabo acciones de seguimiento de las poblaciones de la especie, actuaciones de refuerzo y propagación de individuos.
Como medidas de conservación ex situ esta especie se encuentra conservada en el Banco de Germoplasma Vegetal Andaluz (BGVA), de la Red Andaluza de Jardines Botánicos y Micológico (http://www.juntadeandalucia.es/medioambiente/site/portalweb/menuitem.7e1cf46ddf59bb227a9ebe205510e1ca/?vgnextoid=c384b2c42f207310VgnVCM2000000624e50aRCRD&vgnextchannel=5ebc6cbc15e77310VgnVCM2000000624e50aRCRD).",Yes
species,ES,MED,2016,Pipistrellus kuhlii,Yes,ident,,,,,Yes
species,ES,MED,5277,Eptesicus isabellinus,Yes,ident,,,,También se considera necesario llevar a cabo una revisión de los edificios a rehabilitar donde la especie esté presente así como evaluar la mortalidad debido a colisión con las aspas de los aerogeneradores.,Yes
species,ES,MED,5294,Parachondrostoma arrigonis,Yes,taken,maintain,inOut,medTerm,"Se han realizado medidas de refuerzo poblacional mediante la cría en cautividad y posterior suelta de ejemplares de loína en la cuenca del río Júcar, en la Comunidad Valenciana.",Yes
species,ES,MED,5896,Triturus pygmaeus,Yes,taken,restore,inOut,srtTerm,"El desarrollo del 'Plan PIMA Adapta', por el Ministerio de Medio Ambiente de España desde 2015, ha venido desarrollando trabajos de restauración en sitios RedNatura 2000, con la intención de crear y restaurar nuevos hábitats para anfibios tales como charcas y fuentes: ZEC Monfragüe [ES4320077] y ZEC Montes de Toledo [ES4250005] (https://www.miteco.gob.es/es/cambio-climatico/planes-y-estrategias/PIMA-Adapta.aspx).
Es necesario reducir la carga de deshechos químicos y fertilizantes agrarios en charcas y cursos de agua, para evitar episodios de extinción. La fragmentación del hábitat es la causa de la pérdida de las poblaciones y de los individuos reproductivos, todo ello generado por las actividades agrarias intensivas.",Yes
species,ES,MED,6216,Hamatocaulis vernicosus,Yes,ident,,,,"Las principales medidas de conservación de esta especie son de tipo legal, administrativo y contractual tanto dentro como fuera de la Red Natura 2000.",Yes
species,ES,MED,6945,Pelophylax perezi,No,,,,,,Yes
species,ES,MMAC,1348,Eubalaena glacialis,No,,,,,cn,Yes
species,ES,MMAC,2622,Kogia breviceps,No,,,,,,No
species,ES,MMAC,5020,Balaenoptera musculus,No,,,,,cn,No
species,ES,MMED,1027,Lithophaga lithophaga,No,,,,,,Yes
species,AT,ALP,1065,Euphydryas aurinia,Yes,taken,restore,in,medTerm,,Yes
species,AT,ALP,1130,Aspius aspius,Yes,ident,,,medTerm,,Yes
species,AT,ALP,1214,Rana arvalis,Yes,ident,,,medTerm,,Yes
species,AT,ALP,1375,Capra ibex,No,,,,,,Yes
species,AT,ALP,1545,Trifolium saxatile,Yes,ident,,,medTerm,,Yes
species,AT,ALP,1749,Physoplexis comosa,No,,,,,,Yes
species,AT,ALP,2484,Eudontomyzon mariae,Yes,ident,,,medTerm,,Yes
species,AT,ALP,5676,Iberolacerta horvathi,Yes,notIdent,,,medTerm,,Yes
species,AT,ALP,6353,Coregonus lavaretus Complex,Yes,ident,,,,,Yes
species,AT,CON,1166,Triturus cristatus,Yes,taken,maintain,inOut,medTerm,,Yes
species,AT,CON,1317,Pipistrellus nathusii,No,,,,,,Yes
species,AT,CON,1369,Rupicapra rupicapra,No,,,,,,Yes
species,AT,CON,1902,Cypripedium calceolus,Yes,ident,,,medTerm,,Yes
species,AT,CON,2016,Pipistrellus kuhlii,No,,,,,,Yes
species,AT,CON,4046,Cordulegaster heros,No,,,,,,Yes
species,AT,CON,6353,Coregonus lavaretus Complex,No,,,,,,Yes
species,BE,ATL,1032,Unio crassus,Yes,taken,restore,inOut,medTerm,"improving detection, monitoring of pollution in surface water and implement remedial measures proportional to the damage

Some of the measures are not taken or are not sufficiently applied such as intensive muskrat control, agricultural extensification (inputs and pesticides) exceeding 10% of the territory (BIO), purification of small settlements and efficient purification. and controlled autonomously; the generalized prohibition of livestock access, systematic buffer strips for all culture along the watercourse, the extension of the notion of sensitive grassland off the N2000 network ....",Yes
species,BE,ATL,1083,Lucanus cervus,Yes,ident,,,,"9.5: increasing the amount of dead wood and reintroducing coppice outside forests, mainly in urban (incl. parks) and agricultural areas.
Initialement, les zones spéciales de conservation ont été identifiées en l'absence de données suffisantes sur la répartition de l'espèce. Suite à la découverte récente de nombreuses stations hors site Natura 2000, il apparaît nécessaire de protéger les habitats occupés par une mise sous statut.",Yes
species,BE,ATL,1103,Alosa fallax,Yes,taken,maintain,in,medTerm,,Yes
species,BE,ATL,1309,Pipistrellus pipistrellus,No,,,,,,Yes
species,BE,ATL,1314,Myotis daubentonii,No,,,,,,Yes
species,BE,ATL,1358,Mustela putorius,No,,,,,,Yes
species,BE,CON,1041,Oxygastra curtisii,Yes,taken,maintain,in,medTerm,,Yes
species,BE,CON,1330,Myotis mystacinus,No,,,,,,Yes
species,BE,CON,6976,Pelophylax esculentus,No,,,,,,Yes
species,BG,ALP,1193,Bombina variegata,Yes,taken,maintain,in,medTerm,,Yes
species,BG,ALP,1295,Vipera ammodytes,Yes,taken,maintain,in,medTerm,,Yes
species,BG,ALP,1305,Rhinolophus euryale,Yes,taken,maintain,inOut,medTerm,,Yes
species,BG,ALP,1322,Myotis nattereri,Yes,taken,maintain,inOut,medTerm,,Yes
species,BG,ALP,1363,Felis silvestris,Yes,taken,maintain,inOut,medTerm,,Yes
species,BG,ALP,1763,Artemisia eriantha,Yes,taken,maintain,in,medTerm,,Yes
species,BG,ALP,1846,Fritillaria drenovskii,Yes,taken,maintain,in,medTerm,,Yes
species,BG,ALP,1902,Cypripedium calceolus,Yes,taken,maintain,in,medTerm,,Yes
species,BG,ALP,4045,Coenagrion ornatum,Yes,taken,maintain,inOut,medTerm,,Yes
species,BG,BLS,1307,Myotis blythii,Yes,taken,maintain,inOut,medTerm,,Yes
species,BG,BLS,1316,Myotis capaccinii,Yes,taken,maintain,inOut,medTerm,,Yes
species,BG,BLS,1324,Myotis myotis,Yes,taken,maintain,inOut,medTerm,,Yes
species,BG,BLS,2635,Vormela peregusna,Yes,taken,maintain,in,medTerm,,Yes
species,BG,BLS,6938,Pelophylax ridibundus,Yes,taken,maintain,inOut,medTerm,,Yes
species,BG,CON,1056,Parnassius mnemosyne,Yes,taken,maintain,in,medTerm,,Yes
species,BG,CON,1060,Lycaena dispar,Yes,taken,maintain,in,medTerm,,Yes
species,BG,CON,1086,Cucujus cinnaberinus,Yes,taken,maintain,in,medTerm,,Yes
species,BG,CON,1200,Pelobates syriacus,Yes,taken,maintain,in,medTerm,,Yes
species,BG,CON,1219,Testudo graeca,Yes,taken,maintain,in,medTerm,,Yes
species,BG,CON,1248,Podarcis taurica,Yes,taken,maintain,inOut,medTerm,,Yes
species,BG,CON,1277,Eryx jaculus,Yes,taken,maintain,in,medTerm,,Yes
species,BG,CON,1292,Natrix tessellata,Yes,taken,maintain,in,medTerm,,Yes
species,BG,CON,1358,Mustela putorius,Yes,taken,maintain,in,medTerm,,Yes
species,BG,CON,1371,Rupicapra rupicapra balcanica,Yes,taken,maintain,in,medTerm,,Yes
species,BG,CON,1386,Buxbaumia viridis,Yes,taken,maintain,in,medTerm,,Yes
species,BG,CON,1866,Galanthus nivalis,Yes,taken,maintain,in,medTerm,,Yes
species,BG,CON,2125,Potentilla emilii-popii,Yes,taken,maintain,in,medTerm,,Yes
species,BG,CON,2633,Mustela eversmanii,Yes,taken,maintain,inOut,medTerm,,Yes
species,BG,CON,4056,Anisus vorticulus,Yes,taken,maintain,in,medTerm,,Yes
species,BG,CON,5003,Myotis alcathoe,Yes,taken,maintain,inOut,medTerm,,Yes
species,BG,CON,5365,Hypsugo savii,Yes,taken,maintain,inOut,medTerm,,Yes
species,BG,CON,6958,Mediodactylus kotschyi,Yes,taken,maintain,in,medTerm,,Yes
species,CY,MED,2092,Delphinium caseyi,No,,,,,,No
species,CY,MED,4002,Rousettus aegyptiacus,No,,,,,"Some measures, mostly inside N2000 areas were taken in the framework of LIFE ICOSTACY programme, but many more are needed",Yes
species,CY,MED,4099,Salvia veneris,No,,,,,,No
species,CY,MMED,1349,Tursiops truncatus,Yes,taken,maintain,inOut,medTerm,A new marine area was proposed by Cyprus to be included in the N2000 network. The area "Oceanid" includes also an area of the dolphin's distribution.,Yes
species,CZ,CON,1042,Leucorrhinia pectoralis,Yes,taken,maintain,inOut,srtTerm,,Yes
