featuretype,country,region,featurecode,featurename,pressures_info,pressures_source,use_for_statistics
species,AT,ALP,1037,Ophiogomphus cecilia,,,Yes
species,AT,ALP,1059,Maculinea teleius,,,Yes
species,AT,ALP,1076,Proserpinus proserpina,,expert opinion,Yes
species,AT,ALP,1082,Graphoderus bilineatus,,,Yes
species,AT,ALP,1109,Thymallus thymallus,"Other invasive alien species: Oncorhynchus mykiss

Problematic native species: Phalacrocorax carbo, Mergus merganser",,Yes
species,AT,ALP,1167,Triturus carnifex,,,Yes
species,AT,ALP,1322,Myotis nattereri,,A05 = especially old growth orchards,Yes
species,AT,ALP,1326,Plecotus auritus,,Expert opinion,Yes
species,AT,ALP,1327,Eptesicus serotinus,,Expert opinion,Yes
species,AT,ALP,1375,Capra ibex,,,Yes
species,AT,ALP,1400,Leucobryum glaucum,,,Yes
species,AT,ALP,1749,Physoplexis comosa,,,Yes
species,AT,ALP,1903,Liparis loeselii,,based on expert judgement,Yes
species,AT,ALP,2485,Eudontomyzon vladykovi,,,Yes
species,AT,CON,1050,Saga pedo,,,Yes
species,AT,CON,1304,Rhinolophus ferrumequinum,,Expert opinion,Yes
species,AT,CON,1361,Lynx lynx,,based mainly on expert opinion,Yes
species,AT,CON,1369,Rupicapra rupicapra,,,Yes
species,AT,CON,2487,Acipenser ruthenus,Other invasive alien species: Gobiidae & Acipenser baerii,,Yes
species,AT,CON,4075,Dianthus lumnitzeri,,,Yes
species,AT,CON,4081,Cirsium brachycephalum,,"Article 11 monitoring: Abandonment of management (35,7% of monitoring plots), drainage (22,9%), nitrogene input/eutrophication (8,9%) invasive aliens (2,6%).",Yes
species,AT,CON,5345,Rutilus virgo,,,Yes
species,AT,CON,6353,Coregonus lavaretus Complex,,,Yes
species,BE,ATL,1314,Myotis daubentonii,,,Yes
species,BE,ATL,5009,Pipistrellus pygmaeus,"F02 Summer colonies (maternities) use buildings, hibernation can take place in cellars, or inaccessible places in buildings. Changes in isolation practices will have a greater impact in the future
K01 Wetlands and alluvial forests are important foraging sites. Water abstraction has a negative impact on the groundwater dependent terrestrial and aquatic habitats, which decreases  the surface of suitable foraging habitat.
A21 Use of pesticides has a negative impact on prey availability.
A05 Uses linear structures such as hedges, paths, treelines
D01 Fatalities at wind turbines are known in neighbouring countries (France, Germany). Given the increasing number of wind turbines, we can expect this to become a more serious threat, therefore scored H.
B07 P. pygmaeus also uses trees as day roosts (Bartoni?ka et al. 2008, Kirkpatrick et al. 2018, Dietz et al. 2018)","F02 Use of building as day and maternity roosts & B07 B08 Use of trees as day roosts
Bartoni?ka, T., Bielik, A., & ?ehák, Z. (2008). Roost switching and activity patterns in the soprano pipistrelle, Pipistrellus pygmaeus, during lactation. Annales Zoologici Fennici, 45, 503–512. http://www.sekj.org/PDF/anzf45/anzf45-503.pdf
Dietz, M., Brombacher, M., Erasmy, M., Fenchuk, V., & Simon, O. (2018). Bat Community and Roost Site Selection of Tree-Dwelling Bats in a Well-Preserved European Lowland Forest. Acta Chiropterologica, 20(1), 117–127. https://doi.org/10.3161/15081109ACC2018.20.1.008
Kirkpatrick, L., Graham, J., McGregor, S., Munro, L., Scoarize, M., & Park, K. (2018). Flexible foraging strategies in Pipistrellus pygmaeus in response to abundant but ephemeral prey. PLOS ONE, 13(10), e0204511. https://doi.org/10.1371/journal.pone.0204511",Yes
species,BE,CON,1044,Coenagrion mercuriale,,,Yes
species,BE,CON,1400,Leucobryum glaucum,I02 - There is no appropriate Pressure or Threat associated with overcrowding of wild boars that have tremendous effects on the forest floors.,,Yes
species,BE,CON,6963,Cobitis taenia Complex,,,Yes
species,BE,CON,6976,Pelophylax esculentus,,,Yes
species,BG,ALP,1088,Cerambyx cerdo,,,Yes
species,BG,ALP,1305,Rhinolophus euryale,,,Yes
species,BG,ALP,1308,Barbastella barbastellus,,,Yes
species,BG,ALP,1309,Pipistrellus pipistrellus,,,Yes
species,BG,ALP,1322,Myotis nattereri,,,Yes
species,BG,ALP,1323,Myotis bechsteinii,,,Yes
species,BG,ALP,1357,Martes martes,,,Yes
species,BG,ALP,1389,Meesia longiseta,,,Yes
species,BG,ALP,4045,Coenagrion ornatum,,,Yes
species,BG,ALP,4096,Gladiolus palustris,,,Yes
species,BG,ALP,5004,Myotis aurascens,,,Yes
species,BG,BLS,1269,Ophisaurus apodus,,,Yes
species,BG,BLS,1324,Myotis myotis,,,Yes
species,BG,BLS,1326,Plecotus auritus,,,Yes
species,BG,BLS,1327,Eptesicus serotinus,,,Yes
species,BG,BLS,6095,Zamenis situla,,,Yes
species,BG,CON,1061,Maculinea nausithous,,,Yes
species,BG,CON,1248,Podarcis taurica,,,Yes
species,BG,CON,1331,Nyctalus leisleri,,,Yes
species,BG,CON,2633,Mustela eversmanii,,,Yes
species,BG,CON,5003,Myotis alcathoe,,,Yes
species,BG,CON,5365,Hypsugo savii,,,Yes
species,BG,CON,6981,Pelophylax lessonae,,,Yes
species,CY,MED,4099,Salvia veneris,,,No
species,CY,MED,5009,Pipistrellus pygmaeus,,,Yes
species,CY,MED,7007,Dolichophis cypriensis,"Due to lack of a more suitable code in the Pressure/Threat code list on the Reference Portal, code J01 was used to also describe the insect (mainly mosquito) control practices (sprayings) carried out near torrents, streams and other water bodies.",,Yes
species,CZ,CON,1088,Cerambyx cerdo,,,Yes
species,CZ,CON,1197,Pelobates fuscus,,,Yes
species,CZ,CON,1322,Myotis nattereri,,,Yes
species,CZ,CON,1323,Myotis bechsteinii,,,Yes
species,CZ,CON,1339,Cricetus cricetus,,,Yes
species,CZ,CON,1343,Sicista betulina,,,Yes
species,CZ,CON,1357,Martes martes,,,Yes
species,CZ,CON,1689,Dracocephalum austriacum,,,Yes
species,CZ,CON,1758,Ligularia sibirica,,,Yes
species,CZ,CON,4045,Coenagrion ornatum,,,Yes
species,CZ,CON,4096,Gladiolus palustris,,,Yes
species,CZ,CON,4104,Himantoglossum adriaticum,,,Yes
species,CZ,CON,5329,Romanogobio vladykovi,,,Yes
species,CZ,CON,5365,Hypsugo savii,,,No
species,CZ,PAN,1160,Zingel streber,,,Yes
species,CZ,PAN,1209,Rana dalmatina,,,Yes
species,CZ,PAN,1263,Lacerta viridis,,,Yes
species,CZ,PAN,1378,Cladonia (Cladina) subsp.,,,Yes
species,CZ,PAN,2016,Pipistrellus kuhlii,,,Yes
species,CZ,PAN,2522,Pelecus cultratus,,,No
species,DE,ALP,1375,Capra ibex,,,Yes
species,DE,ALP,1400,Leucobryum glaucum,,,Yes
species,DE,ALP,1903,Liparis loeselii,,,Yes
species,DE,ATL,1106,Salmo salar,,,Yes
species,DE,ATL,1197,Pelobates fuscus,,,Yes
species,DE,ATL,1321,Myotis emarginatus,,,Yes
species,DE,ATL,1322,Myotis nattereri,,,Yes
species,DE,ATL,1357,Martes martes,,,Yes
species,DE,ATL,1363,Felis silvestris,,,Yes
species,DE,ATL,1614,Apium repens,,,Yes
species,DE,ATL,6182,Sympecma paedisca,,,Yes
species,DE,CON,1029,Margaritifera margaritifera,,,Yes
species,DE,CON,1056,Parnassius mnemosyne,,,Yes
species,DE,CON,1060,Lycaena dispar,,,Yes
species,DE,CON,1076,Proserpinus proserpina,,,Yes
species,DE,CON,1292,Natrix tessellata,,,Yes
species,DE,CON,1327,Eptesicus serotinus,,,Yes
species,DE,CON,1396,Notothylas orbicularis,,,Yes
species,DE,CON,1832,Caldesia parnassifolia,,,Yes
species,DE,CON,4038,Lycaena helle,,,Yes
species,DE,CON,4066,Asplenium adulterinum,,,Yes
species,DE,CON,5345,Rutilus virgo,,,Yes
species,DE,CON,6145,Romanogobio uranoscopus,,,Yes
species,DE,MATL,2032,Lagenorhynchus albirostris,,"AW: https://odims.ospar.org/maps/530
http://www.ices.dk/marine-data/data-portals/Pages/DATRAS.aspx
https://www.geoseaportal.de/mapapps/?lang=de",No
species,DK,ATL,1013,Vertigo geyeri,,,Yes
species,DK,ATL,1413,Lycopodium spp.,,,Yes
