country,speciescode,speciesname,group,AnnexV,wild_takings,measures_access,measures_prohibitions,measures_periods,measures_rules,measures_licences,measures_trading_legislation,measures_conservation_propagation,measures_other,measures_other_info,huntingbag_unit,huntingbag_y1_min,huntingbag_y1_max,huntingbag_y1_unknown,huntingbag_y2_min,huntingbag_y2_max,huntingbag_y2_unknown,huntingbag_y3_min,huntingbag_y3_max,huntingbag_y3_unknown,huntingbag_y4_min,huntingbag_y4_max,huntingbag_y4_unknown,huntingbag_y5_min,huntingbag_y5_max,huntingbag_y5_unknown,huntingbag_y6_min,huntingbag_y6_max,huntingbag_y6_unknown,huntingbag_method,annexV_info
AT,1014,Vertigo angustior,Molluscs,N,No,No,No,No,No,No,No,No,No,,,,,No,,,No,,,No,,,No,,,No,,,No,,
AT,1038,Leucorrhinia albifrons,Arthropods,N,No,No,No,No,No,No,No,No,No,,,,,No,,,No,,,No,,,No,,,No,,,No,,
AT,1087,Rosalia alpina,Arthropods,N,No,No,No,No,No,No,No,No,No,,,,,No,,,No,,,No,,,No,,,No,,,No,,
AT,1130,Aspius aspius,Fish,Y,Yes,No,Yes,Yes,No,No,No,No,No,,i,,,Yes,,,Yes,,,Yes,,,Yes,,,Yes,,,Yes,absentData,
AT,1145,Misgurnus fossilis,Fish,N,No,No,No,No,No,No,No,No,No,,,,,No,,,No,,,No,,,No,,,No,,,No,,
AT,1303,Rhinolophus hipposideros,Mammals,N,No,No,No,No,No,No,No,No,No,,,,,No,,,No,,,No,,,No,,,No,,,No,,
AT,1310,Miniopterus schreibersii,Mammals,N,No,No,No,No,No,No,No,No,No,,,,,No,,,No,,,No,,,No,,,No,,,No,,
AT,1341,Muscardinus avellanarius,Mammals,N,No,No,No,No,No,No,No,No,No,,,,,No,,,No,,,No,,,No,,,No,,,No,,
AT,1361,Lynx lynx,Mammals,N,No,No,No,No,No,No,No,No,No,,,,,No,,,No,,,No,,,No,,,No,,,No,,
AT,2555,Gymnocephalus baloni,Fish,N,No,No,No,No,No,No,No,No,No,,,,,No,,,No,,,No,,,No,,,No,,,No,,
AT,4098,Iris humilis subsp. arenaria,Vascular plants,N,No,No,No,No,No,No,No,No,No,,,,,No,,,No,,,No,,,No,,,No,,,No,,
BE,1041,Oxygastra curtisii,Arthropods,N,No,No,No,No,No,No,No,No,No,,,,,No,,,No,,,No,,,No,,,No,,,No,,
BE,1074,Eriogaster catax,Arthropods,N,No,No,No,No,No,No,No,No,No,,,,,No,,,No,,,No,,,No,,,No,,,No,,
BE,1214,Rana arvalis,Amphibians,N,No,No,No,No,No,No,No,No,No,,,,,No,,,No,,,No,,,No,,,No,,,No,,
BE,1312,Nyctalus noctula,Mammals,N,No,No,No,No,No,No,No,No,No,,,,,No,,,No,,,No,,,No,,,No,,,No,,
BE,1320,Myotis brandtii,Mammals,N,No,No,No,No,No,No,No,No,No,,,,,No,,,No,,,No,,,No,,,No,,,No,,
BE,1321,Myotis emarginatus,Mammals,N,No,No,No,No,No,No,No,No,No,,,,,No,,,No,,,No,,,No,,,No,,,No,,
BE,6284,Epidalea calamita,Amphibians,N,No,No,No,No,No,No,No,No,No,,,,,No,,,No,,,No,,,No,,,No,,,No,,
BG,1016,Vertigo moulinsiana,Molluscs,N,No,No,No,No,No,No,No,No,No,,,,,No,,,No,,,No,,,No,,,No,,,No,,
BG,1050,Saga pedo,Arthropods,N,No,No,No,No,No,No,No,No,No,,,,,No,,,No,,,No,,,No,,,No,,,No,,
BG,1058,Maculinea arion,Arthropods,N,No,No,No,No,No,No,No,No,No,,,,,No,,,No,,,No,,,No,,,No,,,No,,
BG,1091,Astacus astacus,Arthropods,Y,No,No,No,No,No,No,No,No,No,,,,,No,,,No,,,No,,,No,,,No,,,No,,
BG,1159,Zingel zingel,Fish,Y,Yes,No,No,No,No,No,No,No,No,,grids1x1,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,absentData,
BG,1302,Rhinolophus mehelyi,Mammals,N,No,No,No,No,No,No,No,No,No,,,,,No,,,No,,,No,,,No,,,No,,,No,,
BG,1317,Pipistrellus nathusii,Mammals,N,No,No,No,No,No,No,No,No,No,,,,,No,,,No,,,No,,,No,,,No,,,No,,
BG,2016,Pipistrellus kuhlii,Mammals,N,No,No,No,No,No,No,No,No,No,,,,,No,,,No,,,No,,,No,,,No,,,No,,
BG,2484,Eudontomyzon mariae,Fish,N,No,No,No,No,No,No,No,No,No,,,,,No,,,No,,,No,,,No,,,No,,,No,,
BG,2488,Acipenser stellatus,Fish,Y-HTL,No,No,No,No,No,No,No,No,No,,,,,No,,,No,,,No,,,No,,,No,,,No,,
BG,4032,Dioszeghyana schmidtii,Arthropods,N,No,No,No,No,No,No,No,No,No,,,,,No,,,No,,,No,,,No,,,No,,,No,,
BG,4046,Cordulegaster heros,Arthropods,N,No,No,No,No,No,No,No,No,No,,,,,No,,,No,,,No,,,No,,,No,,,No,,
BG,4053,Paracaloptenus caloptenoides,Arthropods,N,No,No,No,No,No,No,No,No,No,,,,,No,,,No,,,No,,,No,,,No,,,No,,
BG,4080,Centaurea immanuelis-loewii,Vascular plants,N,No,No,No,No,No,No,No,No,No,,,,,No,,,No,,,No,,,No,,,No,,,No,,
BG,4116,Tozzia carpathica,Vascular plants,N,No,No,No,No,No,No,No,No,No,,,,,No,,,No,,,No,,,No,,,No,,,No,,
BG,5291,Alburnus sarmaticus,Fish,N,No,No,No,No,No,No,No,No,No,,,,,No,,,No,,,No,,,No,,,No,,,No,,
BG,5329,Romanogobio vladykovi,Fish,N,No,No,No,No,No,No,No,No,No,,,,,No,,,No,,,No,,,No,,,No,,,No,,
BG,6928,Hirudo verbana,Other invertebrates,Y-CTC,No,No,No,No,No,No,No,No,No,,,,,No,,,No,,,No,,,No,,,No,,,No,,
CY,1310,Miniopterus schreibersii,Mammals,N,No,No,No,No,No,No,No,No,No,,,,,No,,,No,,,No,,,No,,,No,,,No,,
CY,2306,Crocus cyprius,Vascular plants,N,No,No,No,No,No,No,No,No,No,,,,,No,,,No,,,No,,,No,,,No,,,No,,
CY,4002,Rousettus aegyptiacus,Mammals,N,No,No,No,No,No,No,No,No,No,,,,,No,,,No,,,No,,,No,,,No,,,No,,
CY,6089,Dolichophis jugularis,Reptiles,N,No,No,No,No,No,No,No,No,No,,,,,No,,,No,,,No,,,No,,,No,,,No,,
CZ,1065,Euphydryas aurinia,Arthropods,N,No,No,No,No,No,No,No,No,No,,,,,No,,,No,,,No,,,No,,,No,,,No,,
CZ,1082,Graphoderus bilineatus,Arthropods,N,No,No,No,No,No,No,No,No,No,,,,,No,,,No,,,No,,,No,,,No,,,No,,
CZ,1106,Salmo salar,Fish,Y,No,No,No,No,No,No,No,No,No,,,,,No,,,No,,,No,,,No,,,No,,,No,,
CZ,1337,Castor fiber,Mammals,N,No,No,No,No,No,No,No,No,No,,,,,No,,,No,,,No,,,No,,,No,,,No,,
CZ,1342,Dryomys nitedula,Mammals,N,No,No,No,No,No,No,No,No,No,,,,,No,,,No,,,No,,,No,,,No,,,No,,
CZ,1357,Martes martes,Mammals,Y,Yes,No,No,Yes,No,No,No,No,No,,,,,Yes,,,Yes,,,Yes,,,Yes,,,Yes,,,Yes,absentData,
CZ,2233,Campanula gelida,Vascular plants,N,No,No,No,No,No,No,No,No,No,,,,,No,,,No,,,No,,,No,,,No,,,No,,
CZ,4068,Adenophora lilifolia,Vascular plants,N,No,No,No,No,No,No,No,No,No,,,,,No,,,No,,,No,,,No,,,No,,,No,,
CZ,6938,Pelophylax ridibundus,Amphibians,Y-CTC,No,No,No,No,No,No,No,No,No,,,,,No,,,No,,,No,,,No,,,No,,,No,,
CZ,6966,Osmoderma eremita Complex,Arthropods,N,No,No,No,No,No,No,No,No,No,,,,,No,,,No,,,No,,,No,,,No,,,No,,
CZ,6997,Bufotes viridis,Amphibians,N,No,No,No,No,No,No,No,No,No,,,,,No,,,No,,,No,,,No,,,No,,,No,,
DE,1145,Misgurnus fossilis,Fish,N,No,No,No,No,No,No,No,No,No,,,,,No,,,No,,,No,,,No,,,No,,,No,,
DE,1292,Natrix tessellata,Reptiles,N,No,No,No,No,No,No,No,No,No,,,,,No,,,No,,,No,,,No,,,No,,,No,,
DE,1303,Rhinolophus hipposideros,Mammals,N,No,No,No,No,No,No,No,No,No,,,,,No,,,No,,,No,,,No,,,No,,,No,,
DE,1358,Mustela putorius,Mammals,Y,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,,i,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,10000,0,No,0,0,Yes,completeSurvey,Schätzung auf Datengrundlage Jagdstatistik DJV inkl. Fallwild + Daten der Länder SH und BY
DE,1383,Dichelyma capillaceum,Non-vascular plants,N,No,No,No,No,No,No,No,No,No,,,,,No,,,No,,,No,,,No,,,No,,,No,,
DE,1386,Buxbaumia viridis,Non-vascular plants,N,No,No,No,No,No,No,No,No,No,,,,,No,,,No,,,No,,,No,,,No,,,No,,
DE,1437,Thesium ebracteatum,Vascular plants,N,No,No,No,No,No,No,No,No,No,,,,,No,,,No,,,No,,,No,,,No,,,No,,
DE,1670,Myosotis rehsteineri,Vascular plants,N,No,No,No,No,No,No,No,No,No,,,,,No,,,No,,,No,,,No,,,No,,,No,,
DE,1887,Coleanthus subtilis,Vascular plants,N,No,No,No,No,No,No,No,No,No,,,,,No,,,No,,,No,,,No,,,No,,,No,,
DE,2555,Gymnocephalus baloni,Fish,N,No,No,No,No,No,No,No,No,No,,,,,No,,,No,,,No,,,No,,,No,,,No,,
DE,2618,Balaenoptera acutorostrata,Mammals,N,No,No,No,No,No,No,No,No,No,,,,,No,,,No,,,No,,,No,,,No,,,No,,
DK,1032,Unio crassus,Molluscs,N,No,No,No,No,No,No,No,No,No,,,,,No,,,No,,,No,,,No,,,No,,,No,,
DK,1095,Petromyzon marinus,Fish,N,No,No,No,No,No,No,No,No,No,,,,,No,,,No,,,No,,,No,,,No,,,No,,
DK,1261,Lacerta agilis,Reptiles,N,No,No,No,No,No,No,No,No,No,,,,,No,,,No,,,No,,,No,,,No,,,No,,
DK,1309,Pipistrellus pipistrellus,Mammals,N,No,No,No,No,No,No,No,No,No,,,,,No,,,No,,,No,,,No,,,No,,,No,,
DK,1903,Liparis loeselii,Vascular plants,N,No,No,No,No,No,No,No,No,No,,,,,No,,,No,,,No,,,No,,,No,,,No,,
EE,1014,Vertigo angustior,Molluscs,N,No,No,No,No,No,No,No,No,No,,,,,No,,,No,,,No,,,No,,,No,,,No,,
EE,1038,Leucorrhinia albifrons,Arthropods,N,No,No,No,No,No,No,No,No,No,,,,,No,,,No,,,No,,,No,,,No,,,No,,
EE,1326,Plecotus auritus,Mammals,N,No,No,No,No,No,No,No,No,No,,,,,No,,,No,,,No,,,No,,,No,,,No,,
EE,1341,Muscardinus avellanarius,Mammals,N,No,No,No,No,No,No,No,No,No,,,,,No,,,No,,,No,,,No,,,No,,,No,,
EE,6307,Pusa hispida botnica,Mammals,Y-CTC,No,No,No,No,No,No,No,No,No,,,,,No,,,No,,,No,,,No,,,No,,,No,,
ES,1030,Margaritifera auricularia,Molluscs,N,No,No,No,No,No,No,No,No,No,,,,,No,,,No,,,No,,,No,,,No,,,No,,
ES,1036,Macromia splendens,Arthropods,N,No,No,No,No,No,No,No,No,No,,,,,No,,,No,,,No,,,No,,,No,,,No,,
ES,1046,Gomphus graslinii,Arthropods,N,No,No,No,No,No,No,No,No,No,,,,,No,,,No,,,No,,,No,,,No,,,No,,
ES,1050,Saga pedo,Arthropods,N,No,No,No,No,No,No,No,No,No,,,,,No,,,No,,,No,,,No,,,No,,,No,,
ES,1063,Plebicula golgus,Arthropods,N,No,No,No,No,No,No,No,No,No,,,,,No,,,No,,,No,,,No,,,No,,,No,,
ES,1076,Proserpinus proserpina,Arthropods,N,No,No,No,No,No,No,No,No,No,,,,,No,,,No,,,No,,,No,,,No,,,No,,
ES,1087,Rosalia alpina,Arthropods,N,No,No,No,No,No,No,No,No,No,,,,,No,,,No,,,No,,,No,,,No,,,No,,
ES,1172,Chioglossa lusitanica,Amphibians,N,No,No,No,No,No,No,No,No,No,,,,,No,,,No,,,No,,,No,,,No,,,No,,
ES,1260,Gallotia galloti,Reptiles,N,No,No,No,No,No,No,No,No,No,,,,,No,,,No,,,No,,,No,,,No,,,No,,
ES,1326,Plecotus auritus,Mammals,N,No,No,No,No,No,No,No,No,No,,,,,No,,,No,,,No,,,No,,,No,,,No,,
ES,1327,Eptesicus serotinus,Mammals,N,No,No,No,No,No,No,No,No,No,,,,,No,,,No,,,No,,,No,,,No,,,No,,
ES,1328,Nyctalus lasiopterus,Mammals,N,No,No,No,No,No,No,No,No,No,,,,,No,,,No,,,No,,,No,,,No,,,No,,
ES,1348,Eubalaena glacialis,Mammals,N,No,No,No,No,No,No,No,No,No,,,,,No,,,No,,,No,,,No,,,No,,,No,,
ES,1357,Martes martes,Mammals,Y,No,No,No,No,No,No,No,No,No,,,,,No,,,No,,,No,,,No,,,No,,,No,,
ES,1385,Bruchia vogesiaca,Non-vascular plants,N,No,No,No,No,No,No,No,No,No,,,,,No,,,No,,,No,,,No,,,No,,,No,,
ES,1426,Woodwardia radicans,Vascular plants,N,No,No,No,No,No,No,No,No,No,,,,,No,,,No,,,No,,,No,,,No,,,No,,
ES,1486,Diplotaxis ibicensis,Vascular plants,N,No,No,No,No,No,No,No,No,No,,,,,No,,,No,,,No,,,No,,,No,,,No,,
ES,1564,Lotus kunkelii,Vascular plants,N,No,No,No,No,No,No,No,No,No,,,,,No,,,No,,,No,,,No,,,No,,,No,,
ES,1587,Viola cazorlensis,Vascular plants,N,No,No,No,No,No,No,No,No,No,,,,,No,,,No,,,No,,,No,,,No,,,No,,
ES,1723,Antirrhinum charidemi,Vascular plants,N,No,No,No,No,No,No,No,No,No,,,,,No,,,No,,,No,,,No,,,No,,,No,,
ES,1733,Veronica micrantha,Vascular plants,N,No,No,No,No,No,No,No,No,No,,,,,No,,,No,,,No,,,No,,,No,,,No,,
ES,1737,Globularia ascanii,Vascular plants,N,No,No,No,No,No,No,No,No,No,,,,,No,,,No,,,No,,,No,,,No,,,No,,
ES,1794,Centaurea balearica,Vascular plants,N,No,No,No,No,No,No,No,No,No,,,,,No,,,No,,,No,,,No,,,No,,,No,,
ES,1804,Senecio elodes,Vascular plants,N,No,No,No,No,No,No,No,No,No,,,,,No,,,No,,,No,,,No,,,No,,,No,,
ES,1866,Galanthus nivalis,Vascular plants,Y,No,No,No,No,No,No,No,No,No,,,,,No,,,No,,,No,,,No,,,No,,,No,,
ES,1875,Iris lusitanica,Vascular plants,Y,No,No,No,No,No,No,No,No,No,,,,,No,,,No,,,No,,,No,,,No,,,No,,
ES,1902,Cypripedium calceolus,Vascular plants,N,No,No,No,No,No,No,No,No,No,,,,,No,,,No,,,No,,,No,,,No,,,No,,
ES,2035,Ziphius cavirostris,Mammals,N,No,No,No,No,No,No,No,No,No,,,,,No,,,No,,,No,,,No,,,No,,,No,,
ES,6933,Iberolacerta martinezricai,Reptiles,N,No,No,No,No,No,No,No,No,No,,,,,No,,,No,,,No,,,No,,,No,,,No,,
FI,1065,Euphydryas aurinia,Arthropods,N,No,No,No,No,No,No,No,No,No,,,,,No,,,No,,,No,,,No,,,No,,,No,,
FI,1361,Lynx lynx,Mammals,N,No,No,No,No,No,No,No,No,No,,,,,No,,,No,,,No,,,No,,,No,,,No,,
FI,1921,Corticaria planula,Arthropods,N,No,No,No,No,No,No,No,No,No,,,,,No,,,No,,,No,,,No,,,No,,,No,,
FI,1922,Macroplea pubipennis,Arthropods,N,No,No,No,No,No,No,No,No,No,,,,,No,,,No,,,No,,,No,,,No,,,No,,
FI,1960,Hippuris tetraphylla,Vascular plants,N,No,No,No,No,No,No,No,No,No,,,,,No,,,No,,,No,,,No,,,No,,,No,,
FI,1966,Persicaria foliosa,Vascular plants,N,No,No,No,No,No,No,No,No,No,,,,,No,,,No,,,No,,,No,,,No,,,No,,
FI,2492,Coregonus albula,Fish,Y-HTL,Yes,No,No,No,No,No,No,No,No,,,,,No,,,No,,,No,,,No,,,No,,,No,,
FI,6353,Coregonus lavaretus Complex,Fish,Y-HTL,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,Releasing offspring into wild.,,,,No,,,No,,,No,,,No,,,No,,,No,,
FR,1069,Erebia sudetica,Arthropods,N,No,No,No,No,No,No,No,No,No,,,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,,
FR,1092,Austropotamobius pallipes,Arthropods,Y,No,No,No,No,No,No,No,No,No,,,,,No,,,No,,,No,,,No,,,No,,,No,,
FR,1221,Mauremys leprosa,Reptiles,N,No,No,No,No,No,No,No,No,No,,,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,,
FR,1224,Caretta caretta,Reptiles,N,No,No,No,No,No,No,No,No,No,,,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,,
FR,1226,Lepidochelys kempii,Reptiles,N,No,No,No,No,No,No,No,No,No,,,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,,
FR,1298,Vipera ursinii,Reptiles,N,No,No,No,No,No,No,No,No,No,,,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,,
FR,1333,Tadarida teniotis,Mammals,N,No,No,No,No,No,No,No,No,No,,,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,,
FR,1357,Martes martes,Mammals,Y,Yes,No,No,No,No,No,No,No,No,,,,,No,,,No,,,No,,,No,,,No,,,No,,
FR,1409,Sphagnum spp.,Non-vascular plants,Y,Yes,No,No,No,No,No,No,No,No,,,,,No,,,No,,,No,,,No,,,No,,,No,,
FR,1725,Lindernia procumbens,Vascular plants,N,No,No,No,No,No,No,No,No,No,,,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,,
FR,2619,Balaenoptera borealis,Mammals,N,No,No,No,No,No,No,No,No,No,,,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,,
FR,5259,Iberolacerta bonnali,Reptiles,N,No,No,No,No,No,No,No,No,No,,,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,,
FR,6211,Speleomantes strinatii,Amphibians,N,No,No,No,No,No,No,No,No,No,,,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,,
FR,6223,Lilium pomponium,Vascular plants,Y-CTC,Yes,No,No,No,No,No,No,No,No,,,,,No,,,No,,,No,,,No,,,No,,,No,,
FR,6284,Epidalea calamita,Amphibians,N,No,No,No,No,No,No,No,No,No,,,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,,
FR,6945,Pelophylax perezi,Amphibians,Y-CTC,No,No,No,No,No,No,No,No,No,,,,,No,,,No,,,No,,,No,,,No,,,No,,
FR,6962,Bufotes viridis Complex,Amphibians,N,No,No,No,No,No,No,No,No,No,,,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,,
GR,1090,Scyllarides latus,Arthropods,Y,No,No,No,No,No,No,No,No,No,,,,,No,,,No,,,No,,,No,,,No,,,No,,
GR,1188,Bombina bombina,Amphibians,N,No,No,No,No,No,No,No,No,No,,,,,No,,,No,,,No,,,No,,,No,,,No,,
GR,1193,Bombina variegata,Amphibians,N,No,No,No,No,No,No,No,No,No,,,,,No,,,No,,,No,,,No,,,No,,,No,,
GR,2034,Stenella coeruleoalba,Mammals,N,No,No,No,No,No,No,No,No,No,,,,,No,,,No,,,No,,,No,,,No,,,No,,
GR,2621,Balaenoptera physalus,Mammals,N,No,No,No,No,No,No,No,No,No,,,,,No,,,No,,,No,,,No,,,No,,,No,,
GR,5342,Rutilus prespensis,Fish,N,No,No,No,No,No,No,No,No,No,,,,,No,,,No,,,No,,,No,,,No,,,No,,
GR,5352,Salmo louroensis,Fish,N,No,No,No,No,No,No,No,No,No,,,,,No,,,No,,,No,,,No,,,No,,,No,,
GR,5355,Salmo peristericus,Fish,N,No,No,No,No,No,No,No,No,No,,,,,No,,,No,,,No,,,No,,,No,,,No,,
GR,7002,Ophrys argolica subsp. argolica,Vascular plants,N,No,No,No,No,No,No,No,No,No,,,,,No,,,No,,,No,,,No,,,No,,,No,,
GR,7003,Centaurea lancifolia,Vascular plants,N,No,No,No,No,No,No,No,No,No,,,,,No,,,No,,,No,,,No,,,No,,,No,,
HR,1001,Corallium rubrum,Other invertebrates,Y,Yes,No,No,Yes,No,Yes,No,No,Yes,"Only 9-15 licences exist, and only part of them are active.
Permitted quota per licence is 200kg/year and according to fishing reports quota is not fulfilled by any licencee.",,,,No,,,No,,,No,,,No,,,No,,,No,,
HR,1027,Lithophaga lithophaga,Molluscs,N,No,No,No,No,No,No,No,No,No,,,,,No,,,No,,,No,,,No,,,No,,,No,,
HR,1061,Maculinea nausithous,Arthropods,N,No,No,No,No,No,No,No,No,No,,,,,No,,,No,,,No,,,No,,,No,,,No,,
HR,1093,Austropotamobius torrentium,Arthropods,Y,No,No,No,No,No,No,No,No,No,,,,,No,,,No,,,No,,,No,,,No,,,No,,
HR,1157,Gymnocephalus schraetzer,Fish,Y,No,No,No,No,No,No,No,No,No,,,,,No,,,No,,,No,,,No,,,No,,,No,,
HR,1243,Algyroides nigropunctatus,Reptiles,N,No,No,No,No,No,No,No,No,No,,,,,No,,,No,,,No,,,No,,,No,,,No,,
HR,1256,Podarcis muralis,Reptiles,N,No,No,No,No,No,No,No,No,No,,,,,No,,,No,,,No,,,No,,,No,,,No,,
HR,1279,Elaphe quatuorlineata,Reptiles,N,No,No,No,No,No,No,No,No,No,,,,,No,,,No,,,No,,,No,,,No,,,No,,
HR,1295,Vipera ammodytes,Reptiles,N,No,No,No,No,No,No,No,No,No,,,,,No,,,No,,,No,,,No,,,No,,,No,,
HR,1331,Nyctalus leisleri,Mammals,N,No,No,No,No,No,No,No,No,No,,,,,No,,,No,,,No,,,No,,,No,,,No,,
