country,region,habitatcode,habitatname,priority,range_surface_area,range_trend,complementary_favourable_range,complementary_favourable_range_q,coverage_surface_area,coverage_surface_area_min,coverage_surface_area_max,coverage_trend,complementary_favourable_area,complementary_favourable_area_q,method_range,conclusion_range,method_area,conclusion_area,method_structure,conclusion_structure,method_future,conclusion_future,method_assessment,conclusion_assessment,conclusion_assessment_trend,conclusion_assessment_prev,conclusion_assessment_trend_prev,conclusion_assessment_change,conclusion_assessment_trend_change,target1,future_range,future_area,future_structure,backcasted_2007,hab_condition_trend,hab_condition_good_best,hab_condition_good_min,hab_condition_good_max,hab_condition_notgood_best,hab_condition_notgood_min,hab_condition_notgood_max,hab_condition_unknown_best,hab_condition_unknown_min,hab_condition_unknown_max,use_for_statistics
EU28,BOR,1630,Boreal Baltic coastal meadows,Y,105378,S,105378,aeq,322.27,322.27,322.27,S,322.27,mt,0EQ,FV,1,U1,2XA,U2,2XA,U2,MTX,U2,I,U2,I,nc,nc,B1,good,poor,bad,U2,I,213.5,208,219,83.27,83.27,83.27,25.5,20,31,Yes
EU28,CON,1630,Boreal Baltic coastal meadows,Y,4300,S,4300,aeq,9,9,9,S,9,aeq,0MS,FV,0MS,FV,0MS,U2,0MS,U2,MTX,U2,S,U2,S,nc,nc,D,good,good,bad,U2,S,4.5,4.5,4.5,4.5,4.5,4.5,0,0,0,Yes
EU28,MED,3140,Hard oligo-mesotrophic waters with benthic vegetation of Chara spp.,N,76424,,,,210.68,191.62,229.73,,,,2XA,XX,2XA,U1,2XA,U2,2XA,U2,MTX,U2,D,U1,S,nong,gen,C,,,,U1,,92.87,,,131.24,,,11.78,,,Yes
EU28,STE,3140,Hard oligo-mesotrophic waters with benthic vegetation of Chara spp.,N,1300,S,1300,aeq,1000,1000,1000,S,1000,aeq,0MS,FV,0MS,FV,0MS,FV,0MS,FV,MTX,FV,S,XX,Unk,nong,nong,A=,good,good,good,XX,S,650,,,25,,,25,,,Yes
EU28,PAN,3140,Hard oligo-mesotrophic waters with benthic vegetation of Chara spp.,N,3834.09,Unk,3834.09,,0.05,,,D,0.05,,1,U1,1,U1,1,U1,2GD,U1,MTX,U1,D,U1,D,nc,nc,C,,,,U1,Unk,0.03,,,0.01,,,0.01,,,Yes
EU28,CON,3140,Hard oligo-mesotrophic waters with benthic vegetation of Chara spp.,N,341011,,,,,,,,,,2GD,FV,2GD,U1,2GD,U2,2GD,U1,MTX,U2,D,U2,D,nc,nc,C,,,,U2,,,,,,,,,,,Yes
EU28,BLS,3140,Hard oligo-mesotrophic waters with benthic vegetation of Chara spp.,N,1500,I,1500,aeq,400,400,400,S,400,aeq,0EQ,FV,0EQ,FV,0EQ,FV,0EQ,FV,MTX,FV,S,U1,S,nong,nc,A=,,,good,U1,S,225,100,350,0,0,0,25,0,50,Yes
EU28,ATL,3140,Hard oligo-mesotrophic waters with benthic vegetation of Chara spp.,N,187353.25,,187353.25,,561.81,471.32,690.24,S,471.31,,2XA,FV,1,FV,2XA,U2,2XA,U2,MTX,U2,D,U2,D,nc,nc,C,,,,U2,,106.89,,,335.95,,,157.83,,,Yes
EU28,ALP,3140,Hard oligo-mesotrophic waters with benthic vegetation of Chara spp.,N,42395.2,,,,213.9,201.78,226.03,,,,2XA,U1,2XA,U1,2XA,U1,2XA,U1,MTX,U1,S,U1,S,nc,nc,D,,,,U1,,138.11,,,19.34,,,62.21,,,Yes
EU28,BOR,3140,Hard oligo-mesotrophic waters with benthic vegetation of Chara spp.,N,129647,S,129647,,619.15,600.1,638.2,,,,0EQ,FV,2XA,FV,2XA,U1,2XA,U1,MTX,U1,S,U1,S,nc,nc,D,,,,U1,D,220.31,,,97.45,,,301.4,,,Yes
EU28,BLS,3150,Natural eutrophic lakes with Magnopotamion or Hydrocharition - type vegetation,N,9900,S,9900,aeq,743.94,743.94,743.94,S,743.94,aeq,0EQ,FV,0EQ,FV,2GD,XX,2GD,U1,MTX,U1,S,U1,S,nc,nc,D,,,,U1,,,,,,,,,,,Yes
EU28,BOR,3150,Natural eutrophic lakes with Magnopotamion or Hydrocharition - type vegetation,N,245177,S,245177,aeq,2631.85,2513.7,2750,S,2631.85,aeq,0EQ,FV,0EQ,FV,2GD,U1,2GD,U1,MTX,U1,S,U2,S,nong,nc,D,,,,U2,,,,,,,,,,,Yes
EU28,CON,3150,Natural eutrophic lakes with Magnopotamion or Hydrocharition - type vegetation,N,,,,,,,,,,,2GD,FV,2GD,U1,2GD,U2,2GD,U2,MTX,U2,S,U1,S,gen,nc,C,,,,U1,,,,,,,,,,,Yes
EU28,MED,3150,Natural eutrophic lakes with Magnopotamion or Hydrocharition - type vegetation,N,188410,,,,421.26,387.93,454.58,,,,2XA,U2,2XA,U1,2XA,U1,2XA,U2,MTX,U2,D,U1,S,nong,nong,C,,,,U1,,289,,,32.46,,,99.9,,,Yes
EU28,MAC,3150,Natural eutrophic lakes with Magnopotamion or Hydrocharition - type vegetation,N,,,,,,,,,,,0MS,XX,0MS,FV,0MS,XX,0MS,XX,MTX,XX,Unk,XX,Unk,nc,nc,D,,,,XX,,,,,,,,,,,Yes
EU28,PAN,3150,Natural eutrophic lakes with Magnopotamion or Hydrocharition - type vegetation,N,33481.27,S,33481.27,,,,,,,,0EQ,FV,2GD,U1,2GD,U1,2GD,U1,MTX,U1,S,U1,S,nc,nc,D,,,,U1,S,,,,,,,,,,Yes
EU28,STE,3150,Natural eutrophic lakes with Magnopotamion or Hydrocharition - type vegetation,N,3900,S,3900,,2500,,,S,2500,,0MS,FV,0MS,FV,0MS,FV,0MS,FV,MTX,FV,S,FV,S,nc,nc,A=,,,,FV,S,2050,,,50,,,0,,,Yes
EU28,ALP,3150,Natural eutrophic lakes with Magnopotamion or Hydrocharition - type vegetation,N,86601.59,,,,,,,,,,2GD,U2,2GD,U2,2GD,XX,2GD,U2,MTX,U2,S,U2,D,nc,nong,D,,,,U2,,,,,,,,,,,Yes
EU28,ATL,3150,Natural eutrophic lakes with Magnopotamion or Hydrocharition - type vegetation,N,365045.5,S,365045.5,,1035.32,820.97,1249.63,,,,1,FV,2XA,FV,2XA,U2,2XA,U2,MTX,U2,S,U2,S,nc,nc,D,,,,U2,,210.52,,,560.88,,,251.77,,,Yes
EU28,ATL,3220,Alpine rivers and the herbaceous vegetation along their banks,N,7100,S,,x,4.54,4.54,4.54,S,4.54,aeq,0MS,XX,0MS,FV,0MS,FV,0MS,XX,MTX,XX,Unk,XX,Unk,nc,nc,D,unknown,good,unknown,XX,S,4.47,4.47,4.47,0,0,0,0.07,0.07,0.07,Yes
EU28,MAC,3220,Alpine rivers and the herbaceous vegetation along their banks,N,200,S,200,aeq,2.3,2.3,2.3,S,2.3,aeq,0MS,FV,0MS,FV,0MS,FV,0MS,FV,MTX,FV,S,FV,S,nc,nc,A=,good,good,good,FV,S,2.3,2.3,2.3,0,0,0,0,0,0,Yes
EU28,MED,3220,Alpine rivers and the herbaceous vegetation along their banks,N,,Unk,,x,,,,Unk,,x,0MS,XX,2GD,XX,2GD,XX,2GD,XX,MTX,XX,Unk,U1,S,nong,nong,D,,,,U1,Unk,,,,,,,,,,Yes
EU28,CON,3220,Alpine rivers and the herbaceous vegetation along their banks,N,47568,D,47568,mt,,,,I,,mt,2GD,U1,2GD,U1,2GD,U1,2GD,U1,MTX,U1,D,U1,D,nc,nc,C,,,,U1,D,,,,,,,,,,Yes
EU28,BOR,3220,Alpine rivers and the herbaceous vegetation along their banks,N,62200,S,62200,aeq,49,49,49,S,49,aeq,0EQ,FV,0EQ,FV,0EQ,FV,0EQ,FV,MTX,FV,S,FV,S,nc,nc,A=,good,good,good,FV,S,48.25,48.25,48.25,0.75,0.75,0.75,0,0,0,Yes
EU28,ALP,3220,Alpine rivers and the herbaceous vegetation along their banks,N,264342,S,264342,mt,,,,D,,mt,1,U1,2GD,U1,2GD,U1,2GD,U1,MTX,U1,D,U1,D,nc,nc,C,,,,U1,D,8673,8218,9128,553,147,958,351,251,451,Yes
EU28,ALP,3230,Alpine rivers and their ligneous vegetation with Myricaria germanica,N,50587,D,,mmt,,,,D,,mmt,2GD,U2,2GD,U2,2GD,U2,2GD,U2,MTX,U2,D,U2,D,nc,nc,C,,,,U2,D,,,,,,,,,,Yes
EU28,MED,3230,Alpine rivers and their ligneous vegetation with Myricaria germanica,N,12955,Unk,12955,mt,10.67,10.67,10.67,Unk,28.42,mt,2XA,U1,2XA,U1,0EQ,U1,2XA,U1,MTX,U1,Unk,U1,D,nc,nong,D,,,,U1,Unk,0,0,0,0,0,0,10.67,10.67,10.67,Yes
EU28,CON,3230,Alpine rivers and their ligneous vegetation with Myricaria germanica,N,3475,I,3475,mmt,1.46,1.4,1.52,I,1.46,mmt,1,U2,1,U2,1,U2,2XA,U2,MTX,U2,I,U2,S,nc,nong,B1,,,,U2,S,0.55,0.55,0.55,0.94,0.94,0.94,0,0,0,Yes
EU28,MED,3290,Intermittently flowing Mediterranean rivers of the Paspalo-Agrostidion,N,105695.51,D,105695.51,x,60.93,55.32,66.54,D,60.93,mt,2XA,XX,2XA,U1,2XA,XX,2XA,U1,MTX,U1,Unk,U1,S,nong,nong,D,good,good,poor,U1,Unk,,,,,,,,,,Yes
EU28,PAN,6230,"Species-rich Nardus grasslands, on siliceous substrates in mountain areas (and submountain areas, in Continental Europe)",Y,1055,D,1055,mmt,,0.07,0.1,D,0.07,mmt,0MS,U2,0MS,U2,0MS,U1,0MS,U2,MTX,U2,D,U2,D,nc,nc,C,,,,U2,D,0.07,,,0.02,,,0,,,Yes
EU28,ATL,6230,"Species-rich Nardus grasslands, on siliceous substrates in mountain areas (and submountain areas, in Continental Europe)",Y,263795,S,265115,lt,,427.87,677.85,,,,1,FV,2XA,U2,2XA,U2,2XA,U2,MTX,U2,S,U2,D,nc,nong,D,,,,U2,,,,,,,,,,,Yes
EU28,BOR,6230,"Species-rich Nardus grasslands, on siliceous substrates in mountain areas (and submountain areas, in Continental Europe)",Y,275993,S,277943,lt,20.25,,,,,,1,FV,2XA,U2,0EQ,U2,0EQ,U2,MTX,U2,D,U2,D,nc,nc,C,,,,U2,D,,,,,,,2.95,,,Yes
EU28,MED,6230,"Species-rich Nardus grasslands, on siliceous substrates in mountain areas (and submountain areas, in Continental Europe)",Y,,,,,,,,,,,2GD,XX,2GD,FV,2GD,U2,2GD,XX,MTX,U2,Unk,XX,Unk,nong,nc,D,,,,XX,,,,,,,,,,,Yes
EU28,ALP,6230,"Species-rich Nardus grasslands, on siliceous substrates in mountain areas (and submountain areas, in Continental Europe)",Y,217123.76,,226323.76,lt,,,,,,,2GD,U1,2GD,U1,2GD,U1,2GD,U1,MTX,U1,I,U2,D,nong,nong,B2,,,,U2,,,,,,,,,,,Yes
EU28,CON,6230,"Species-rich Nardus grasslands, on siliceous substrates in mountain areas (and submountain areas, in Continental Europe)",Y,386126,,,,,723.95,786.09,,,,2XA,U1,2XA,U1,2XA,U2,2XA,U2,MTX,U2,D,U2,D,nc,nc,C,,,,U2,,,,,,,,,,,Yes
EU28,ALP,7320,Palsa mires,Y,29900,D,30000,mt,417,417,417,D,541,mt,0EQ,U1,0EQ,U2,0EQ,U2,0EQ,U2,MTX,U2,D,U2,D,nc,nc,C,poor,bad,bad,U2,D,73.5,63.5,83.5,343.5,333.5,353.5,0,0,0,Yes
EU28,BOR,7320,Palsa mires,Y,1400,D,1400,mt,7.65,4.3,11,D,7.65,mt,0MS,U2,0MS,U2,0MS,U2,0MS,U2,MTX,U2,D,U2,D,nc,nc,C,bad,bad,bad,U2,D,0,0,0,7.65,4.3,11,0,0,0,Yes
EU28,CON,8240,Limestone pavements,Y,7500,D,6171,aeq,10.23,3.48,16.98,D,10.23,aeq,1,U1,1,U1,2XA,XX,2XA,FV,MTX,U1,S,FV,,nong,gen,D,,,,FV,D,2.8,2.05,3.55,0.3,0.3,0.3,8.08,7.33,8.83,Yes
EU28,BOR,8240,Limestone pavements,Y,7800,S,7800,aeq,6.2,,,S,6.2,aeq,0EQ,FV,0EQ,FV,1,U2,2XA,U2,MTX,U2,D,U1,D,gen,nc,C,,,,U1,D,3.7,3.7,3.7,2.2,2.2,2.2,0.3,0.3,0.3,Yes
EU28,MED,8240,Limestone pavements,Y,16000,D,16000,x,38,34,42,I,38,x,2GD,U1,0EQ,FV,2GD,XX,2GD,FV,MTX,U1,S,U1,D,nc,nong,D,,,,U1,Unk,30,29,31,0.6,0.6,0.6,7,4,12,Yes
EU28,ALP,8240,Limestone pavements,Y,45056,D,45056,aeq,702,691,713,D,702,aeq,2XA,FV,2XA,FV,0EQ,FV,2XA,FV,MTX,FV,S,FV,S,nc,nc,A=,,,,FV,S,626,626,626,0.004,0.004,0.004,64,64,64,Yes
EU28,ATL,8240,Limestone pavements,Y,23396,S,23396,aeq,346,,,D,349,lt,0EQ,FV,1,U1,1,U1,0EQ,U1,MTX,U1,S,U1,S,nc,nc,D,,,,U1,I,260,260,260,79,79,79,6.64,6.64,6.64,Yes
EU28,CON,9070,Fennoscandian wooded pastures,N,21900,S,21900,aeq,65,65,65,I,65,mmt,0MS,FV,0MS,U2,0MS,U2,0MS,U2,MTX,U2,I,U2,D,nc,gen,B1,good,bad,bad,U2,I,32.5,32.5,32.5,32.5,32.5,32.5,0,0,0,Yes
EU28,BOR,9070,Fennoscandian wooded pastures,N,607701,S,642701,aeq,720.4,720.13,720.66,S,11700,mt,1,U1,1,U2,2XA,U2,2XA,U2,MTX,U2,S,U2,D,nc,gen,D,poor,bad,bad,U2,S,345,345,345,334,334,334,41.4,41.13,41.66,Yes
EU28,ALP,9070,Fennoscandian wooded pastures,N,37000,S,37000,aeq,33,33,33,S,33,mmt,0MS,FV,0MS,U2,0MS,U2,0MS,U2,MTX,U2,S,U2,D,nc,gen,D,good,bad,bad,U2,S,16.5,16.5,16.5,16.5,16.5,16.5,0,0,0,Yes
EU28,CON,9140,Medio-European subalpine beech woods with Acer and Rumex arifolius,N,25611,S,25611,aeq,48.55,47.76,49.34,S,52.5,lt,1,FV,1,U1,1,XX,2XA,U1,MTX,U1,S,XX,Unk,nong,nong,D,poor,poor,poor,XX,Unk,5.79,5.6,6,1.07,0.886,1.28,41.79,41.02,42.56,Yes
EU28,MED,9140,Medio-European subalpine beech woods with Acer and Rumex arifolius,N,7800,S,7800,aeq,179.9,,,S,179.9,aeq,0MS,FV,0MS,FV,1,XX,0MS,U1,MTX,U1,S,FV,,nong,nong,D,good,good,poor,FV,I,,,,35.98,35.98,35.98,143.92,143.92,143.92,Yes
EU28,ALP,9140,Medio-European subalpine beech woods with Acer and Rumex arifolius,N,57700,S,57700,aeq,383.9,283.3,484.7,I,383.9,mt,1,FV,2XA,U1,1,U1,2XA,U1,MTX,U1,Unk,U1,D,nc,nong,D,good,good,poor,U1,Unk,141.87,118.81,164.94,13.87,10.91,16.83,228.15,152.46,303.83,Yes
EU28,ATL,9160,Sub-Atlantic and medio-European oak or oak-hornbeam forests of the Carpinion betuli,N,159408.94,S,159408.94,aeq,,,,,,,1,FV,2XR,U1,2XR,U1,2XR,U1,MTX,U1,D,U2,D,nong,nc,C,,,,U2,,,,,,,,,,,Yes
EU28,MED,9160,Sub-Atlantic and medio-European oak or oak-hornbeam forests of the Carpinion betuli,N,6400,,,,,,,,,,2GD,XX,2GD,XX,2GD,XX,2GD,XX,MTX,XX,Unk,XX,,nc,nong,D,,,,XX,,,,,,,,,,,Yes
EU28,CON,9160,Sub-Atlantic and medio-European oak or oak-hornbeam forests of the Carpinion betuli,N,495146,S,495146,aeq,,,,,,,0EQ,FV,2XR,U1,2XR,U1,2XR,U1,MTX,U1,D,U1,I,nc,nong,C,,,,U1,,,,,,,,,,,Yes
EU28,ALP,9160,Sub-Atlantic and medio-European oak or oak-hornbeam forests of the Carpinion betuli,N,,,,,,,,D,117.15,mt,2GD,U2,2GD,U2,0EQ,U2,2GD,U2,MTX,U2,D,U2,D,nc,nc,C,,,,U2,,,,,,,,,,,Yes
EU28,BOR,9160,Sub-Atlantic and medio-European oak or oak-hornbeam forests of the Carpinion betuli,N,199581.44,S,,,,,,D,,,0EQ,FV,2GD,U2,2GD,U1,2GD,U2,MTX,U2,Unk,U2,S,nc,nong,D,,,,U2,,,,,,,,,,,Yes
EU28,CON,9220,Apennine beech forests with Abies alba and beech forests with Abies nebrodensis,Y,8300,I,,aeq,,39.2,53.95,I,,aeq,0MS,FV,0MS,FV,0MS,FV,0MS,XX,MTX,FV,S,FV,S,nc,nc,A=,unknown,unknown,unknown,FV,Unk,,34.92,34.92,,2.67,2.67,,0.41,0.41,Yes
EU28,MED,9220,Apennine beech forests with Abies alba and beech forests with Abies nebrodensis,Y,21400,I,,aeq,,135,392.92,Unk,,aeq,0MS,FV,0MS,FV,0MS,FV,0MS,XX,MTX,FV,S,FV,S,nc,nc,A=,unknown,unknown,unknown,FV,Unk,,204.9,204.9,,0.83,0.83,,0.68,0.68,Yes
EU28,ALP,9220,Apennine beech forests with Abies alba and beech forests with Abies nebrodensis,Y,3400,I,,aeq,,35.38,36.92,S,,aeq,0MS,FV,0MS,FV,0MS,FV,0MS,U1,MTX,U1,I,FV,S,nong,nong,B2,good,good,poor,FV,S,,35.38,35.38,,,,,,,Yes
EU28,MAC,1250,Vegetated sea cliffs with endemic flora of the Macaronesian coasts,N,9389,S,9389,aeq,259.76,139.2,298.2,D,259.76,mt,0EQ,FV,1,U1,2XA,U1,2XA,U1,MTX,U1,D,FV,,gen,gen,C,good,poor,poor,FV,D,133.2,118.2,148.2,23,21,25,22.5,20,25,Yes
EU28,CON,1410,Mediterranean salt meadows (Juncetalia maritimi),N,7538,I,7538,mt,40.58,26.22,54.94,D,40.68,mmt,1,U1,1,U2,2XA,U1,2XA,U2,MTX,U2,D,U2,Unk,nc,nong,C,poor,bad,poor,U2,D,25.14,25.04,25.24,0.056,0.056,0.056,0.57,0.47,0.67,Yes
EU28,MAC,1410,Mediterranean salt meadows (Juncetalia maritimi),N,1200,S,1200,mt,4,4,4,S,4,mmt,0MS,U1,0MS,U2,0MS,U1,0MS,U2,MTX,U2,S,U2,S,nc,nc,D,poor,bad,poor,U2,S,3,3,3,1,1,1,0,0,0,Yes
EU28,ATL,1410,Mediterranean salt meadows (Juncetalia maritimi),N,38000,S,38000,aeq,375.64,375.64,375.64,D,375.64,mt,0EQ,FV,0EQ,U1,2XA,U1,0EQ,U1,MTX,U1,D,U1,S,nc,nong,C,good,poor,poor,U1,D,8.77,8.77,8.77,0.87,0.87,0.87,366,366,366,Yes
EU28,MED,1410,Mediterranean salt meadows (Juncetalia maritimi),N,107279,S,107279,x,,,,D,,,1,U1,2GD,U1,2GD,U1,2GD,XX,MTX,U1,D,XX,Unk,nong,nong,C,poor,poor,poor,U2,D,,,,,,,,,,Yes
EU28,BLS,1410,Mediterranean salt meadows (Juncetalia maritimi),N,3400,I,3400,mt,701.86,701.86,701.86,I,701.86,mt,1,U1,2GD,U1,2GD,XX,0EQ,U1,MTX,U1,D,U1,S,nc,nong,C,poor,poor,poor,U1,Unk,100,0,200,150,0,300,101.86,1.86,201.86,Yes
