country,region,habitatcode,habitatname,priority,presence,group
AT,CON,4070,Bushes with Pinus mugo and Rhododendron hirsutum (Mugo-Rhododendretum hirsuti),Y,MAR,Heath and scrub
AT,CON,7110,Active raised bogs,Y,PRE,"Bogs, mires and fens"
AT,CON,6520,Mountain hay meadows,N,PRE,Grasslands
AT,CON,6510,"Lowland hay meadows (Alopecurus pratensis, Sanguisorba officinalis)",N,PRE,Grasslands
AT,CON,6440,Alluvial meadows of river valleys of the Cnidion dubii,N,PRE,Grasslands
AT,CON,6430,Hydrophilous tall herb fringe communities of plains and of the montane to alpine levels,N,PRE,Grasslands
AT,CON,6410,"Molinia meadows on calcareous, peaty or clayey-silt-laden soils (Molinion caeruleae)",N,PRE,Grasslands
AT,CON,6250,Pannonic loess steppic grasslands,Y,PRE,Grasslands
AT,CON,6230,"Species-rich Nardus grasslands, on siliceous substrates in mountain areas (and submountain areas, in Continental Europe)",Y,PRE,Grasslands
AT,CON,6210,Semi-natural dry grasslands and scrubland facies on calcareous substrates (Festuco-Brometalia) (* important orchid sites),N,PRE,Grasslands
AT,CON,6190,Rupicolous pannonic grasslands (Stipo-Festucetalia pallentis),N,PRE,Grasslands
AT,CON,6170,Alpine and subalpine calcareous grasslands,N,MAR,Grasslands
AT,CON,6130,Calaminarian grasslands of the Violetalia calaminariae,N,PRE,Grasslands
AT,CON,6110,Rupicolous calcareous or basophilic grasslands of the Alysso-Sedion albi,Y,PRE,Grasslands
AT,ALP,9420,Alpine Larix decidua and/or Pinus cembra forests,N,PRE,Forests
AT,CON,3160,Natural dystrophic lakes and ponds,N,PRE,Freshwater habitats
AT,ALP,9430,Subalpine and montane Pinus uncinata forests (* if on gypsum or limestone),N,PRE,Forests
AT,ALP,9530,(Sub-) Mediterranean pine forests with endemic black pines,Y,PRE,Forests
AT,CON,1530,Pannonic salt steppes and salt marshes,Y,PRE,Coastal habitats
AT,CON,2340,Pannonic inland dunes,Y,PRE,Dune habitats
AT,CON,3130,Oligotrophic to mesotrophic standing waters with vegetation of the Littorelletea uniflorae and/or of the Isoëto-Nanojuncetea,N,PRE,Freshwater habitats
AT,CON,5130,Juniperus communis formations on heaths or calcareous grasslands,N,PRE,Sclerophyllous scrub
AT,CON,3150,Natural eutrophic lakes with Magnopotamion or Hydrocharition - type vegetation,N,PRE,Freshwater habitats
AT,CON,40A0,Subcontinental peri-Pannonic scrub,Y,PRE,Heath and scrub
AT,CON,3220,Alpine rivers and the herbaceous vegetation along their banks,N,PRE,Freshwater habitats
AT,CON,3240,Alpine rivers and their ligneous vegetation with Salix elaeagnos,N,PRE,Freshwater habitats
AT,CON,3260,Water courses of plain to montane levels with the Ranunculion fluitantis and Callitricho-Batrachion vegetation,N,PRE,Freshwater habitats
AT,CON,3270,Rivers with muddy banks with Chenopodion rubri p.p. and Bidention p.p. vegetation,N,PRE,Freshwater habitats
AT,CON,4030,European dry heaths,N,PRE,Heath and scrub
AT,CON,7150,Depressions on peat substrates of the Rhynchosporion,N,PRE,"Bogs, mires and fens"
AT,CON,3140,Hard oligo-mesotrophic waters with benthic vegetation of Chara spp.,N,PRE,Freshwater habitats
AT,CON,91I0,Euro-Siberian steppic woods with Quercus spp.,Y,PRE,Forests
AT,CON,7120,Degraded raised bogs still capable of natural regeneration,N,PRE,"Bogs, mires and fens"
AT,CON,9180,"Tilio-Acerion forests of slopes, screes and ravines",Y,PRE,Forests
AT,CON,91D0,Bog woodland,Y,PRE,Forests
AT,CON,91E0,"Alluvial forests with Alnus glutinosa and Fraxinus excelsior (Alno-Padion, Alnion incanae, Salicion albae)",Y,PRE,Forests
AT,CON,91F0,"Riparian mixed forests of Quercus robur, Ulmus laevis and Ulmus minor, Fraxinus excelsior or Fraxinus angustifolia, along the great rivers (Ulmenion minoris)",N,PRE,Forests
AT,CON,9160,Sub-Atlantic and medio-European oak or oak-hornbeam forests of the Carpinion betuli,N,PRE,Forests
AT,CON,91H0,Pannonian woods with Quercus pubescens,Y,PRE,Forests
AT,CON,9150,Medio-European limestone beech forests of the Cephalanthero-Fagion,N,PRE,Forests
AT,CON,91K0,Illyrian Fagus sylvatica forests (Aremonio-Fagion),N,MAR,Forests
AT,CON,91L0,Illyrian oak-hornbeam forests (Erythronio-Carpinion),N,PRE,Forests
AT,CON,91M0,Pannonian-Balkanic turkey oak-sessile oak forests,N,PRE,Forests
AT,CON,9410,Acidophilous Picea forests of the montane to alpine levels (Vaccinio-Piceetea),N,PRE,Forests
AT,CON,9530,(Sub-) Mediterranean pine forests with endemic black pines,Y,MAR,Forests
AT,ALP,3130,Oligotrophic to mesotrophic standing waters with vegetation of the Littorelletea uniflorae and/or of the Isoëto-Nanojuncetea,N,PRE,Freshwater habitats
AT,CON,91G0,Pannonic woods with Quercus petraea and Carpinus betulus,Y,PRE,Forests
AT,CON,8210,Calcareous rocky slopes with chasmophytic vegetation,N,PRE,Rocky habitats
AT,CON,6240,Sub-Pannonic steppic grasslands,Y,PRE,Grasslands
AT,CON,7210,Calcareous fens with Cladium mariscus and species of the Caricion davallianae,Y,PRE,"Bogs, mires and fens"
AT,CON,7220,Petrifying springs with tufa formation (Cratoneurion),Y,PRE,"Bogs, mires and fens"
AT,CON,7230,Alkaline fens,N,PRE,"Bogs, mires and fens"
AT,CON,7240,Alpine pioneer formations of Caricion bicoloris-atrofuscae,Y,MAR,"Bogs, mires and fens"
AT,CON,9170,Galio-Carpinetum oak-hornbeam forests,N,PRE,Forests
AT,CON,8160,Medio-European calcareous scree of hill and montane levels,Y,PRE,Rocky habitats
AT,CON,7140,Transition mires and quaking bogs,N,PRE,"Bogs, mires and fens"
AT,CON,8220,Siliceous rocky slopes with chasmophytic vegetation,N,PRE,Rocky habitats
AT,CON,8230,Siliceous rock with pioneer vegetation of the Sedo-Scleranthion or of the Sedo albi-Veronicion dillenii,N,PRE,Rocky habitats
AT,CON,8310,Caves not open to the public,N,PRE,Rocky habitats
AT,CON,9110,Luzulo-Fagetum beech forests,N,PRE,Forests
AT,CON,9130,Asperulo-Fagetum beech forests,N,PRE,Forests
AT,CON,9140,Medio-European subalpine beech woods with Acer and Rumex arifolius,N,MAR,Forests
AT,CON,8150,Medio-European upland siliceous screes,N,PRE,Rocky habitats
AT,ALP,6410,"Molinia meadows on calcareous, peaty or clayey-silt-laden soils (Molinion caeruleae)",N,PRE,Grasslands
AT,ALP,7140,Transition mires and quaking bogs,N,PRE,"Bogs, mires and fens"
AT,ALP,6170,Alpine and subalpine calcareous grasslands,N,PRE,Grasslands
AT,ALP,6190,Rupicolous pannonic grasslands (Stipo-Festucetalia pallentis),N,PRE,Grasslands
AT,ALP,6210,Semi-natural dry grasslands and scrubland facies on calcareous substrates (Festuco-Brometalia) (* important orchid sites),N,PRE,Grasslands
AT,ALP,6230,"Species-rich Nardus grasslands, on siliceous substrates in mountain areas (and submountain areas, in Continental Europe)",Y,PRE,Grasslands
AT,ALP,6130,Calaminarian grasslands of the Violetalia calaminariae,N,PRE,Grasslands
AT,ALP,6250,Pannonic loess steppic grasslands,Y,MAR,Grasslands
AT,ALP,6110,Rupicolous calcareous or basophilic grasslands of the Alysso-Sedion albi,Y,PRE,Grasslands
AT,ALP,6430,Hydrophilous tall herb fringe communities of plains and of the montane to alpine levels,N,PRE,Grasslands
AT,ALP,6510,"Lowland hay meadows (Alopecurus pratensis, Sanguisorba officinalis)",N,PRE,Grasslands
AT,ALP,6520,Mountain hay meadows,N,PRE,Grasslands
AT,ALP,7110,Active raised bogs,Y,PRE,"Bogs, mires and fens"
AT,ALP,7120,Degraded raised bogs still capable of natural regeneration,N,PRE,"Bogs, mires and fens"
AT,ALP,7130,Blanket bogs (* if active bog),N,PRE,"Bogs, mires and fens"
AT,ALP,6240,Sub-Pannonic steppic grasslands,Y,PRE,Grasslands
AT,CON,6260,Pannonic sand steppes,Y,PRE,Grasslands
AT,ALP,3140,Hard oligo-mesotrophic waters with benthic vegetation of Chara spp.,N,PRE,Freshwater habitats
AT,ALP,3150,Natural eutrophic lakes with Magnopotamion or Hydrocharition - type vegetation,N,PRE,Freshwater habitats
AT,ALP,3160,Natural dystrophic lakes and ponds,N,PRE,Freshwater habitats
AT,ALP,3220,Alpine rivers and the herbaceous vegetation along their banks,N,PRE,Freshwater habitats
AT,ALP,3230,Alpine rivers and their ligneous vegetation with Myricaria germanica,N,PRE,Freshwater habitats
AT,ALP,6150,Siliceous alpine and boreal grasslands,N,PRE,Grasslands
AT,ALP,3260,Water courses of plain to montane levels with the Ranunculion fluitantis and Callitricho-Batrachion vegetation,N,PRE,Freshwater habitats
AT,ALP,4060,Alpine and Boreal heaths,N,PRE,Heath and scrub
AT,ALP,4030,European dry heaths,N,PRE,Heath and scrub
AT,ALP,9410,Acidophilous Picea forests of the montane to alpine levels (Vaccinio-Piceetea),N,PRE,Forests
AT,ALP,4070,Bushes with Pinus mugo and Rhododendron hirsutum (Mugo-Rhododendretum hirsuti),Y,PRE,Heath and scrub
AT,ALP,4080,Sub-Arctic Salix spp. scrub,N,PRE,Heath and scrub
AT,ALP,40A0,Subcontinental peri-Pannonic scrub,Y,MAR,Heath and scrub
AT,ALP,5130,Juniperus communis formations on heaths or calcareous grasslands,N,PRE,Sclerophyllous scrub
AT,ALP,3240,Alpine rivers and their ligneous vegetation with Salix elaeagnos,N,PRE,Freshwater habitats
AT,ALP,91E0,"Alluvial forests with Alnus glutinosa and Fraxinus excelsior (Alno-Padion, Alnion incanae, Salicion albae)",Y,PRE,Forests
AT,ALP,9130,Asperulo-Fagetum beech forests,N,PRE,Forests
AT,ALP,9140,Medio-European subalpine beech woods with Acer and Rumex arifolius,N,PRE,Forests
AT,ALP,9150,Medio-European limestone beech forests of the Cephalanthero-Fagion,N,PRE,Forests
AT,ALP,9160,Sub-Atlantic and medio-European oak or oak-hornbeam forests of the Carpinion betuli,N,PRE,Forests
AT,ALP,9170,Galio-Carpinetum oak-hornbeam forests,N,PRE,Forests
AT,ALP,9110,Luzulo-Fagetum beech forests,N,PRE,Forests
AT,ALP,91D0,Bog woodland,Y,PRE,Forests
AT,ALP,91F0,"Riparian mixed forests of Quercus robur, Ulmus laevis and Ulmus minor, Fraxinus excelsior or Fraxinus angustifolia, along the great rivers (Ulmenion minoris)",N,PRE,Forests
AT,ALP,91G0,Pannonic woods with Quercus petraea and Carpinus betulus,Y,MAR,Forests
AT,ALP,91K0,Illyrian Fagus sylvatica forests (Aremonio-Fagion),N,PRE,Forests
AT,ALP,91L0,Illyrian oak-hornbeam forests (Erythronio-Carpinion),N,PRE,Forests
AT,ALP,91M0,Pannonian-Balkanic turkey oak-sessile oak forests,N,PRE,Forests
AT,ALP,7150,Depressions on peat substrates of the Rhynchosporion,N,PRE,"Bogs, mires and fens"
AT,ALP,3270,Rivers with muddy banks with Chenopodion rubri p.p. and Bidention p.p. vegetation,N,PRE,Freshwater habitats
AT,ALP,9180,"Tilio-Acerion forests of slopes, screes and ravines",Y,PRE,Forests
