country,region,assessment_speciescode,assessment_speciesname,priority,annexII,annexIV,annexV,range_surface_area,range_trend,complementary_favourable_range,complementary_favourable_range_q,population_unit,population_best_value,population_minimum_size,population_maximum_size,population_trend,complementary_favourable_population_unit,complementary_favourable_population,complementary_favourable_population_q,habitat_trend,method_range,conclusion_range,method_population,conclusion_population,method_habitat,conclusion_habitat,method_future,conclusion_future,method_assessment,conclusion_assessment,conclusion_assessment_trend,conclusion_assessment_prev,conclusion_assessment_trend_prev,conclusion_assessment_change,conclusion_assessment_trend_change,target1,future_range,future_population,future_habitat,backcasted_2007,use_for_statistics
EU28,MAC,1018,Leiostyla cassida,N,Y,Y,N,11,Unk,,x,grids1x1,,1,1,Unk,,,x,Unk,0MS,XX,0MS,XX,0MS,XX,0MS,XX,MTX,XX,,U2,D,nong,nong,D,unknown,unknown,unknown,U2,Yes
EU28,MAC,1025,Idiomela subplicata,N,Y,Y,N,2,I,,x,grids1x1,1,1,3,I,grids1x1,3,,I,0MS,XX,0MS,FV,0EQ,FV,0MS,XX,MTX,XX,,XX,,nc,nc,D,unknown,unknown,good,XX,Yes
EU28,PAN,1065,Euphydryas aurinia,N,Y,N,N,4948,S,,aeq,grids1x1,32,,,Unk,,,mt,Unk,0MS,FV,0MS,U1,0MS,U1,0MS,U1,MTX,U1,Unk,U1,Unk,nc,nc,D,poor,poor,poor,U1,Yes
EU28,BOR,1065,Euphydryas aurinia,N,Y,N,N,125981,S,128281,aeq,grids1x1,983,881,1135,D,,,,D,2XP,U1,2XP,U2,2XP,U1,2XP,U2,MTX,U2,D,U2,D,nc,nc,C,,,,U2,Yes
EU28,CON,1065,Euphydryas aurinia,N,Y,N,N,216503,D,,mt,grids1x1,22849,602,40186,Unk,,,x,D,2XP,U1,2XP,XX,2XP,U1,2XP,U1,MTX,U1,D,U1,D,nc,nc,C,,,,U1,Yes
EU28,MED,1065,Euphydryas aurinia,N,Y,N,N,270454,S,411154,aeq,grids1x1,,,,Unk,grids1x1,27850,mt,D,2GD,U2,2GD,XX,2GD,U1,2GD,XX,MTX,U2,Unk,FV,S,nong,nong,D,,,,XX,Yes
EU28,ALP,1065,Euphydryas aurinia,N,Y,N,N,127034,S,,,grids1x1,11427.5,11427.5,11427.5,S,,,,D,2XP,FV,2XP,FV,2XP,FV,2XP,XX,MTX,FV,S,FV,S,nc,nc,A=,,,,FV,Yes
EU28,ATL,1065,Euphydryas aurinia,N,Y,N,N,262265.49,S,306265.49,,grids1x1,21483,40293,40293,D,,,,D,2XP,U1,2XP,U1,2XP,U1,2XP,U2,MTX,U2,D,U1,D,nong,nc,C,,,,U1,Yes
EU28,BLS,1065,Euphydryas aurinia,N,Y,N,N,2900,Unk,2900,,grids1x1,9,,,Unk,grids1x1,9,,S,0MS,XX,0MS,XX,0MS,FV,0MS,FV,MTX,XX,Unk,FV,S,nong,nong,D,good,unknown,good,FV,Yes
EU28,MED,1083,Lucanus cervus,N,Y,N,N,265469,I,,aeq,,,,,I,,,x,S,1,FV,2GD,FV,2GD,U1,2GD,U1,MTX,U1,I,U1,Unk,nc,nong,B2,good,unknown,unknown,XX,Yes
EU28,PAN,1083,Lucanus cervus,N,Y,N,N,88677.03,S,88897.03,lt,grids1x1,7434,7434,7434,S,grids1x1,7434,aeq,S,0EQ,FV,1,FV,2XP,FV,2XP,FV,MTX,FV,S,FV,S,nc,nc,A=,good,good,unknown,FV,Yes
