country,region,speciescode,speciesname,assessment_speciescode,assessment_speciesname,presence,priority,annexII,annexIV,annexV,group
IT,MED,1431,Abies nebrodensis,1431,Abies nebrodensis,PRE,Y,Y,Y,N,Vascular plants
HR,CON,1276,Ablepharus kitaibelii,1276,Ablepharus kitaibelii,PRE,N,N,Y,N,Reptiles
RO,CON,1276,Ablepharus kitaibelii,1276,Ablepharus kitaibelii,PRE,N,N,Y,N,Reptiles
GR,MED,1276,Ablepharus kitaibelii,1276,Ablepharus kitaibelii,PRE,N,N,Y,N,Reptiles
SK,PAN,1276,Ablepharus kitaibelii,1276,Ablepharus kitaibelii,PRE,N,N,Y,N,Reptiles
BG,ALP,1276,Ablepharus kitaibelii,1276,Ablepharus kitaibelii,PRE,N,N,Y,N,Reptiles
CY,MED,1276,Ablepharus kitaibelii,1276,Ablepharus kitaibelii,PRE,N,N,Y,N,Reptiles
RO,STE,1276,Ablepharus kitaibelii,1276,Ablepharus kitaibelii,PRE,N,N,Y,N,Reptiles
HU,PAN,1276,Ablepharus kitaibelii,1276,Ablepharus kitaibelii,PRE,N,N,Y,N,Reptiles
BG,BLS,1276,Ablepharus kitaibelii,1276,Ablepharus kitaibelii,PRE,N,N,Y,N,Reptiles
BG,CON,1276,Ablepharus kitaibelii,1276,Ablepharus kitaibelii,PRE,N,N,Y,N,Reptiles
PT,ATL,6155,Achondrostoma arcasii,6155,Achondrostoma arcasii,PRE,N,Y-CTC,N,N,Fish
ES,ATL,6155,Achondrostoma arcasii,6155,Achondrostoma arcasii,PRE,N,Y-CTC,N,N,Fish
ES,ALP,6155,Achondrostoma arcasii,6155,Achondrostoma arcasii,PRE,N,Y-CTC,N,N,Fish
ES,MED,6155,Achondrostoma arcasii,6155,Achondrostoma arcasii,PRE,N,Y-CTC,N,N,Fish
PT,MED,6155,Achondrostoma arcasii,6155,Achondrostoma arcasii,PRE,N,Y-CTC,N,N,Fish
PT,ATL,6156,Achondrostoma oligolepis,6156,Achondrostoma oligolepis,PRE,N,Y-CTC,N,N,Fish
PT,MED,6156,Achondrostoma oligolepis,6156,Achondrostoma oligolepis,PRE,N,Y-CTC,N,N,Fish
BG,MBLS,5040,Acipenser gueldenstaedtii,5040,Acipenser gueldenstaedtii,PRE,N,N,N,Y-HTL,Fish
RO,CON,5040,Acipenser gueldenstaedtii,5040,Acipenser gueldenstaedtii,PRE,N,N,N,Y-HTL,Fish
RO,STE,5040,Acipenser gueldenstaedtii,5040,Acipenser gueldenstaedtii,PRE,N,N,N,Y-HTL,Fish
RO,BLS,5040,Acipenser gueldenstaedtii,5040,Acipenser gueldenstaedtii,PRE,N,N,N,Y-HTL,Fish
BG,CON,5040,Acipenser gueldenstaedtii,5040,Acipenser gueldenstaedtii,PRE,N,N,N,Y-HTL,Fish
RO,MBLS,5040,Acipenser gueldenstaedtii,5040,Acipenser gueldenstaedtii,PRE,N,N,N,Y-HTL,Fish
GR,MED,1100,Acipenser naccarii,1100,Acipenser naccarii,SCR,Y,Y,Y,N,Fish
IT,CON,1100,Acipenser naccarii,1100,Acipenser naccarii,PRE,Y,Y,Y,N,Fish
BG,CON,5041,Acipenser nudiventris,5041,Acipenser nudiventris,EXp,N,N,N,Y-HTL,Fish
BG,BLS,5041,Acipenser nudiventris,5041,Acipenser nudiventris,EXp,N,N,N,Y-HTL,Fish
RO,CON,5041,Acipenser nudiventris,5041,Acipenser nudiventris,PRE,N,N,N,Y-HTL,Fish
DE,CON,5042,Acipenser oxyrinchus,5042,Acipenser oxyrinchus,EXp,Y-CTC,Y-CTC,Y-CTC,N,Fish
RO,STE,2487,Acipenser ruthenus,2487,Acipenser ruthenus,PRE,N,N,N,Y-HTL,Fish
BG,CON,2487,Acipenser ruthenus,2487,Acipenser ruthenus,PRE,N,N,N,Y-HTL,Fish
AT,ALP,2487,Acipenser ruthenus,2487,Acipenser ruthenus,PRE,N,N,N,Y-HTL,Fish
HU,PAN,2487,Acipenser ruthenus,2487,Acipenser ruthenus,PRE,N,N,N,Y-HTL,Fish
RO,CON,2487,Acipenser ruthenus,2487,Acipenser ruthenus,PRE,N,N,N,Y-HTL,Fish
RO,PAN,2487,Acipenser ruthenus,2487,Acipenser ruthenus,PRE,N,N,N,Y-HTL,Fish
CZ,PAN,2487,Acipenser ruthenus,2487,Acipenser ruthenus,PRE,N,N,N,Y-HTL,Fish
SK,PAN,2487,Acipenser ruthenus,2487,Acipenser ruthenus,PRE,N,N,N,Y-HTL,Fish
HR,CON,2487,Acipenser ruthenus,2487,Acipenser ruthenus,PRE,N,N,N,Y-HTL,Fish
AT,CON,2487,Acipenser ruthenus,2487,Acipenser ruthenus,PRE,N,N,N,Y-HTL,Fish
RO,BLS,2488,Acipenser stellatus,2488,Acipenser stellatus,PRE,N,N,N,Y-HTL,Fish
BG,CON,2488,Acipenser stellatus,2488,Acipenser stellatus,PRE,N,N,N,Y-HTL,Fish
BG,MBLS,2488,Acipenser stellatus,2488,Acipenser stellatus,PRE,N,N,N,Y-HTL,Fish
RO,MBLS,2488,Acipenser stellatus,2488,Acipenser stellatus,PRE,N,N,N,Y-HTL,Fish
RO,STE,2488,Acipenser stellatus,2488,Acipenser stellatus,PRE,N,N,N,Y-HTL,Fish
GR,MED,2488,Acipenser stellatus,2488,Acipenser stellatus,PRE,N,N,N,Y-HTL,Fish
RO,CON,2488,Acipenser stellatus,2488,Acipenser stellatus,PRE,N,N,N,Y-HTL,Fish
PT,ATL,1101,Acipenser sturio,1101,Acipenser sturio,EXp,Y,Y,Y,N,Fish
BG,MBLS,1101,Acipenser sturio,1101,Acipenser sturio,EXp,Y,Y,Y,N,Fish
GR,MMED,1101,Acipenser sturio,1101,Acipenser sturio,PRE,Y,Y,Y,N,Fish
NL,MATL,1101,Acipenser sturio,1101,Acipenser sturio,OCC,Y,Y,Y,N,Fish
DE,ATL,1101,Acipenser sturio,1101,Acipenser sturio,EXp,Y,Y,Y,N,Fish
UK,MATL,1101,Acipenser sturio,1101,Acipenser sturio,OCC,Y,Y,Y,N,Fish
GR,MED,1101,Acipenser sturio,1101,Acipenser sturio,PRE,Y,Y,Y,N,Fish
PT,MED,1101,Acipenser sturio,1101,Acipenser sturio,EXp,Y,Y,Y,N,Fish
ES,MED,1101,Acipenser sturio,1101,Acipenser sturio,EXp,Y,Y,Y,N,Fish
FR,MATL,1101,Acipenser sturio,1101,Acipenser sturio,PRE,Y,Y,Y,N,Fish
BG,CON,1101,Acipenser sturio,1101,Acipenser sturio,EXp,Y,Y,Y,N,Fish
