code,label
CA,Measures related to agriculture and agriculture-related habitats
CA01,"Prevent conversion of natural and semi-natural habitats, and habitats of species into agricultural land"
CA02,Restore small landscape features on agricultural land
CA03,Maintain existing extensive agricultural practices and agricultural landscape features
CA04,"Reinstate appropriate agricultural practices to address abandonment, including mowing, grazing, burning or equivalent measures"
CA05,"Adapt mowing, grazing and other equivalent agricultural activities"
CA06,"Stop mowing, grazing and other equivalent agricultural activities"
CA07,Recreate Annex I agricultural habitats
CA08,Adapt soil management practices in agriculture
CA09,Manage the use of natural fertilisers and chemicals in agricultural (plant and animal) production
CA10,Reduce/eliminate point pollution to surface or ground waters from agricultural activities
CA11,Reduce diffuse pollution to surface or ground waters from agricultural activities
CA12,Reduce/eliminate air pollution from agricultural activities
CA13,Reduce/eliminate marine pollution from agricultural activities
CA14,Reduce/eliminate soil pollution from agricultural activities
CA15,Manage drainage and irrigation operations and infrastructures in agriculture
CA16,Other measures related to agricultural practices
CB,Measures related to forestry and forest-related habitats
CB01,Prevent conversion of (semi-) natural habitats into forests and of (semi-)natural forests into intensive forest plantation
CB02,Maintain existing traditional forest management and exploitation practices
CB03,Reinstate forest management and exploitation practices
CB04,Adapt/manage reforestation and forest regeneration
CB05,Adapt/change forest management and exploitation practices
CB06,Stop forest management and exploitation practices
CB07,Combat illegal logging
CB08,Restoration of Annex I forest habitats
CB09,"Manage the use of chemicals for fertilisation, liming and pest control in forestry"
CB10,Reduce diffuse pollution to surface or ground waters from forestry activities
CB11,Reduce air pollution from forestry activities
CB12,Reduce marine pollution from forestry activities
CB13,Reduce soil pollution from forestry activities
CB14,Manage drainage and irrigation operations and infrastructures
CB15,Other measures related to forestry practices
CC,Measures related to resources extraction and energy production
CC01,Adapt/manage extraction of non-energy resources
CC02,Adapt/manage exploitation of energy resources
CC03,"Adapt/manage renewable energy installation, facilities and operation"
CC04,Reduce impact of hydropower operation and infrastructure
CC05,"Adapt/manage fossil energy installation, facilities and operation"
CC06,Reduce impact of service corridors and networks
CC07,"Habitat restoration/creation from resources, exploitation areas or areas damaged due to installation of renewable energy infrastructure"
CC08,Manage/reduce/eliminate point pollution to surface or ground waters from resource exploitation and energy production
CC09,Manage/reduce/eliminate diffuse pollution to surface or ground waters from resource exploitation and energy production
CC10,Manage/reduce/eliminate air pollution from resource exploitation and energy production
